Carrier,carrier_clustered
PROCON EXPRESS LINES,PROCON EXPRESS LINES
HAMBURG SUD,HAMBURG SUD
HYUNDAI MERCHANT MARINE,HYUNDAI MERCHANT MARINE
MITSUI O S K LINES LTD,MITSUI O S K LINES LTD
NYK LINE (NIPPON YUSEN KAISHA),NYK LINE (NIPPON YUSEN KAISHA)
BLUE ANCHOR AMERICA LINE (BLUE ANCHOR LINE),BLUE ANCHOR AMERICA LINE (BLUE ANCHOR LINE)
ATLANTIC CONTAINER LINE AB,ATLANTIC CONTAINER LINE AB
HAPAG LLOYD A G,HAPAG LLOYD A G
CMA-CGM,CMA-CGM
MAERSK LINE,MAERSK LINE
R M I GLOBAL LOGISTICS INC,R M I GLOBAL LOGISTICS INC
ALBATRANS SPA,ALBATRANS SPA
APL CO PTE LTD-NOL GROUP,APL CO PTE LTD-NOL GROUP
ORIENT OVERSEAS CONTAINER LINE LTD,ORIENT OVERSEAS CONTAINER LINE LTD
EVERGREEN LINE,EVERGREEN LINE
HAMBURG SUED,HAMBURG SUD
MSC-MEDITERRANEAN SHIPPING COMPANY S A,MSC-MEDITERRANEAN SHIPPING COMPANY S A
YUSEN LOGISTICS (AMERICAS) INC,YUSEN LOGISTICS (AMERICAS) INC
DANMAR LINES LTD,DANMAR LINES AG
OCEAN NETWORK EXPRESS PTE LTD,OCEAN NETWORK EXPRESS PTE LTD
DANMAR LINES AG,DANMAR LINES AG
MSC-MEDITERRANEAN SHIPPING COMPANY S A - MEDU,MSC-MEDITERRANEAN SHIPPING COMPANY S A
COSCO SHIPPING LINES CO LTD,COSCO SHIPPING
TRANS GLOBAL FREIGHT MANAGEMENT LTD,TRANS GLOBAL FREIGHT MANAGEMENT LTD
WOODLAND INTERNATIONAL TRANSPORT COMPANY,WOODLAND INTERNATIONAL TRANSPORT COMPANY
EGETRANS USA INC,EGETRANS ATLANTIC SERVICE
GLOBAL CONTAINER LINE,GLOBAL CONTAINER LINE
CARGO CONTAINER LINE LIMITED,CARGO CONTAINER LINE LIMITED
MIDWEST TRANSATLANTIC LINES INC,MIDWEST TRANSATLANTIC LINES INC
TRANS SERVICE LINE,TRANS SERVICE LINE
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OIA GLOBAL LOGISTICS,OIA GLOBAL LOGISTICS
FLEXPORT INTERNATIONAL LLC,FLEXPORT INTERNATIONAL LLC
YANG MING MARINE TRANSPORT CORP,YANG MING MARINE TRANSPORT CORP
PYRAMID LINES,PYRAMID LINES
BLUE WORLD LINE,BLUE WORLD LINE
BTS LOGISTICS BV,BTS LOGISTICS BV
CHRISTAL LINES,CHRISTAL LINES
MIQ LOGISTICS,MIQ LOGISTICS
SEABOX LIMITED,SEABOX LIMITED
BLUE EAGLE CONSOLIDATION GMBH,BLUE EAGLE CONSOLIDATION GMBH
SEAQUEST LINE,SEAQUEST LINE
PANTAINER EXPRESS LINE PANALPINA INC AS AGENTS,PANTAINER EXPRESS LINE PANALPINA INC AS AGENTS
WALLENIUS WILHELMSEN LOGISTICS AMERICAS LLC,WALLENIUS WILHELMSEN LOGISTICS AMERICAS LLC
ORIENT EXPRESS CONTAINER CO INC,ORIENT EXPRESS CONTAINER CO INC
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC
SCHENKEROCEAN (HONG KONG),SCHENKEROCEAN (HONG KONG)
PHOENIX INTERNATIONAL,PHOENIX INTERNATIONAL
INTERNATIONAL EXPRESS LINE,A & A INTERNATIONAL FREIGHT FORWARDERS
ZENITH INTERNATIONAL FREIGHT LTD,ZENITH INTERNATIONAL FREIGHT LTD
PELORUS OCEAN LINE LTD,PELORUS OCEAN LINE LTD
UTI UNITED STATES INC,UTI UNITED STATES INC
KAWASAKI KISEN KAISHA LTD,KAWASAKI KISEN KAISHA LTD
DSV OCEAN TRANSPORT A/S,DSV OCEAN TRANSPORT
CHINA SHIPPING CONTAINER LINES CO LTD,CHINA SHIPPING CONTAINER LINES (HONG KONG) CO LTD
JAGUAR FREIGHT SERVICES,JAGUAR FREIGHT SERVICES
NISSIN INTERNATIONAL TRANSPORT USA INC,NISSAN MOTOR CAR CARRIER CO LTD
NACA (VANGUARD LOGISTICS SERVICES),NACA (VANGUARD LOGISTICS SERVICES)
GULF AGENCY COMPANY LIMITED,GULF AGENCY COMPANY LIMITED
DSV OCEAN TRANSPORT,DSV OCEAN TRANSPORT
SENATOR INTERNATIONAL OCEAN LLC,SENATOR INTERNATIONAL OCEAN LLC
HANSE OCEAN LINE,HANSE OCEAN LINE
BLUE WATER SHIPPING US INC,BLUE WATER SHIPPING CO
ECU WORLDWIDE,ECU WORLDWIDE
UNITED ARAB SHIPPING CO SAG,UNITED ARAB SHIPPING CO SAG
AIRTRUK/SEATRUK INC,AIRTRUK/SEATRUK INC
CHINA OCEAN SHIPPING COMPANY,CHINA OCEAN SHIPPING COMPANY
SAMSKIP LOGISTICS INC,SAMSKIP LOGISTICS INC
WORLD CARGO TRANSPORT INC,WORLD CARGO TRANSPORT INC
LANDSTAR GLOBAL LOGISTICS INC,LANDSTAR GLOBAL LOGISTICS INC
HELVETIA CONTAINER LINE,HELVETIA CONTAINER LINE
HAPAG-LLOYD USA LLC,HAPAG-LLOYD USA LLC
CARGO PARTNER NETWORK INC,CARGO PARTNER NETWORK INC
APEX SHIPPING CO,APEX SHIPPING CO
HANJIN SHIPPING COMPANY LTD,HANJIN SHIPPING CO LTD (BULK DIVISION)
CHINATRANS INTERNATIONAL LIMITED,CHINATRANS INTERNATIONAL LIMITED
PINNACLE INTERNATIONAL FREIGHT LTD,PINNACLE INTERNATIONAL FREIGHT LTD
ROHLIG USA LLC,ROHLIG USA LLC
SAFMARINE CONTAINER LINES,SAFMARINE CONTAINER LINES
CEVA OCEAN LINE (NVOCC),CEVA OCEAN LINE (NVOCC)
TOLL GLOBAL FORWARDING (HONG KONG) LIMITED,TOLL GLOBAL FORWARDING (HONG KONG) LIMITED
OCEAN WIDE LOGISTICS INC,OCEAN WIDE LOGISTICS INC
WEISS-ROHLIG USA LLC,WEISS-ROHLIG USA LLC
HECNY SHIPPING LIMITED,HECNY SHIPPING LIMITED
CARDINAL LOGISTICS INC,CARDINAL LOGISTICS INC
CARDINAL MARITIME LIMITED,CARDINAL MARITIME LIMITED
SAVINO DEL BENE S P A,SAVINO DEL BENE DO BRASIL
SEALAND,SEALAND
DAMCO INTERNATIONAL B V,DAMCO INTERNATIONAL B V
DAMCO A/S,DAMCO A/S
ACC SHIPPING LTD,ACC SHIPPING LTD
SEAMASTER LOGISTICS INC,SEAMASTER LOGISTICS INC
EAGLE SHIPPING LTD,EAGLE SHIPPING INTL (USA) LLC
TIGERS USA GLOBAL LOGISTIS INC,TIGERS USA GLOBAL LOGISTIS INC
JAS OCEAN SERVICES INC,JAS OCEAN SERVICES INC
KINTETSU WORLD EXPRESS INC,KINTETSU WORLD EXPRESS (HK) LIMITED
BALAJI SHIPPING UK LTD,BALAJI SHIPPING UK LTD
UPS EUROPE SPRL,UPS EUROPE SPRL
TRANSWORLD SHIPPING (USA) INC,TRANS BORDER GLOBAL FREIGHT SYSTEMS INC
RAMSES LOGISTICS CO LTD,RAMSES LOGISTICS CO LTD
ZIM INTEGRATED SHIPPING SERVICES LTD,ZIM INTEGRATED SHIPPING SERVICES LTD
MCL-MULTI CONTAINER LINE INC,MCL-MULTI CONTAINER LINE INC
ETS EXPRESS LINE LTD,ETS EXPRESS LINE LTD
1FUTURE FORWARDING COMPANY,FUTURE FORWARDING COMPANY
APRILE USA INC,APRILE USA INC
SHIPPING SERVICES ITALIA,SHIPPING SERVICES ITALIA
SCARBROUGH INTERNATIONAL EXPRESS LINES LTD,SCARBROUGH INTERNATIONAL EXPRESS LINES LTD
EM-LINES LIMITED,EM-LINES LIMITED
ROSE CONTAINERLINE INC,ROSE CONTAINERLINE INC
GLOBE EXPRESS SERVICES LTD,GLOBE EXPRESS LOGISTICS CO LTD
DE WELL CONTAINER SHIPPING CORP,DE WELL CONTAINER SHIPPING CORP
GLOBELINK FALLOW LIMITED,GLOBELINK FALLOW LIMITED
FUTURE FORWARDING COMPANY,FUTURE FORWARDING COMPANY
CTL USA INC,CTL USA INC
ZIM ISRAEL NAVIGATION CO LTD,ZIM ISRAEL NAVIGATION CO LTD
MCLEAN CARGO SPECIALISTS (DIVISION OF CRANE WORLDWIDE LOGISTICS LLC),MCLEAN CARGO SPECIALISTS
LMD LOGISTICS INC,LMD LOGISTICS INC
MAXWIDE LOGISTICS INC,MAXWIDE LOGISTICS INC
MASTER INTERNATIONAL LOGISTICS (CHINA) CO LTD,MASTER INTERNATIONAL LOGISTICS (CHINA) CO LTD
UNITED CARGO LINES,UNITED CARGO LINES
FALLOW INTERNATIONAL FREIGHT LIMITED,FALLOW INTERNATIONAL FREIGHT LIMITED
OCEANIC CONTAINER LINE INC,OCEANIC CONTAINER LINE INC
UPS EUROPE SRL,UPS EUROPE SPRL
THREE FORT LOGISTICS INC,THREE FORT LOGISTICS INC
MCLEAN CARGO SPECIALISTS,MCLEAN CARGO SPECIALISTS
CARELOG FREIGHT SERVICE A/S,CARELOG FREIGHT SERVICE A/S
XPO OCEAN WORLD LINES INC,XPO OCEAN WORLD LINES INC
ALL WORLD SHIPPING CORP,ALL WORLD SHIPPING CORP
SUPERIOR BROKERAGE SERVICES INC,SUPERIOR BROKERAGE SERVICES INC
NOT AVAILABLE,NOT AVAILABLE
DYNASTY INTERNATIONAL INC,DYNASTY INTERNATIONAL INC
AMC USA INC,AMC USA INC
S EN R MARINE SERVICES,S EN R MARINE SERVICES
YUSEN AIR & SEA SERVICE (U S A) INC,YUSEN AIR & SEA SERVICE (U S A) INC
CARGOCARE LOGISTICS (INDIA) PVT LTD,CARGO CARE LOGISTICS CORPORATION
PRIMARY FREIGHT SERVICES INC,PRIMARY FREIGHT SERVICES INC
OCEAN WORLD LINES N/K/A XPO OCEAN WORLD LINES INC,OCEAN WORLD LINES
SHIPCO TRANSPORT INC,SHIPCO TRANSPORT INC
SACO SHIPPING LINE LIMITED,COSCO SHIPPING
PRESIDENT CONTAINER LINE,PRESIDENT CONTAINER LINE
S H E MARITIME SERVICES LTD,S H E MARITIME SERVICES LTD
SEAFRIGO USA INC,SEAFRIGO USA INC
NYK LOGISTICS (AMERICAS) INC,NYK LOGISTICS (AMERICAS) INC
LF LOGISTICS USA LLC,LF LOGISTICS USA LLC
UNSWORTH GLOBAL LOGISTICS,UNSWORTH
