Carrier,Carrier_Clustered,carrier_size
2DODO CARGO INC,2DODO CARGO INC,micro
"8DYKES, ISAAC TRUCKING","8DYKES, ISAAC TRUCKING",small
INTERNATIONAL EXPRESS LINE,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERNATIONAL BRIDGE,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERNATIONAL SEAVAN SYSTEMS,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
A & A INTERNATIONAL FREIGHT FORWARDERS,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERNATIONAL CONSOLIDATOR PHILIPPINES INC,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERUNITY MANAGEMENT CORPORATION SA,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERNATIONAL PACIFIC HALIBUT COMMISSION,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERNATIONAL LOGISTICS,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERNATIONAL TOUCH CONSOLIDATOR INC,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
INTERNATIONAL FREIGHT LOGISTICS (USA) INC,A & A INTERNATIONAL FREIGHT FORWARDERS,medium
A & D TRANSPORT INC,A & D TRANSPORT INC,small
A & E CARGO LLC,A & E CARGO LLC,small
A M N BULK CARRIERS INC,A M N BULK CARRIERS INC,medium
A S A MANAGEMENT CORP,A S A MANAGEMENT CORP,small
ACS LINES,A S C LINES,large
A S C LINES,A S C LINES,large
A TWO Z (A2Z) LOGISTICS INDIA PVT LTD,A TWO S (A2S) LOGISTICS CO LTD,medium
A TWO S (A2S) LOGISTICS CO LTD,A TWO S (A2S) LOGISTICS CO LTD,medium
A-GAME EXPRESS LLC,A-GAME EXPRESS LLC,micro
AA CONNECTION LLC,AA CONNECTION LLC,small
AA FREIGHT INC,AA FREIGHT INC,small
AAPO LOGISTICS INC,AAPO LOGISTICS INC,micro
AB MARITIME INC,AB MARITIME INC,medium
ABAN ABRAHAM PTE LTD,ABAN ABRAHAM PTE LTD,micro
ABC DEPOT LOGISTICS,ABC DEPOT INC,small
ABC DEPOT INC,ABC DEPOT INC,small
ABC MARITIME AG,ABC MARITIME AG,medium
