,US_Port,US_Port_Clustered,STATE_CODE
0,"ABERDEEN/HOQUIAM,WA","ABERDEEN/HOQUIAM,WA",WA
1,"AGUADILLA,PR","AGUADILLA,PR",PR
2,"AIR CARGO HANDLING SERVICES, INC.","AIR CARGO HANDLING SERVICES, INC.",NOT DECLARED
3,"AIRBORNE AIR PARK, WILMINGTON,OH","AIRBORNE AIR PARK, WILMINGTON,OH",OH
4,"AKRON,OH","AKRON,OH",OH
5,"ALBANY, NY","ALBANY, NY",NY
6,"ALBURQUERQUE,NM","ALBURQUERQUE,NM",NM
7,"ANACORTES,WA","ANACORTES,WA",WA
8,"ANCHORAGE,AK","ANCHORAGE,AK",AK
9,"ANNAPOLIS,MD","ANNAPOLIS,MD",MD
10,"ASHLAND, WI","ASHLAND, WI",WI
11,"ASHTABULA,OH","ASHTABULA,OH",OH
12,"ASTORIA,OR","ASTORIA,OR",OR
13,"ATLANTA,GA","ATLANTA,GA",GA
14,"AUSTIN,TX","AUSTIN,TX",TX
15,"AVONDALE,LA","AVONDALE,LA",LA
16,"BALTIMORE,MD","BALTIMORE,MD",MD
17,"BANGOR,ME","BANGOR,ME",ME
18,"BATON ROUGE,LA","BATON ROUGE,LA",LA
19,"BAYOU CASOTTE, MS (INCLUDED IN TRAFFIC OF PASCAGOULA HARBOR, MS)","BAYOU CASOTTE, MS (INCLUDED IN TRAFFIC OF PASCAGOULA HARBOR, MS)",MS
20,"BEAUFORT-MOREHEAD CITY,NC","BEAUFORT-MOREHEAD CITY,NC",NC
21,"BEAUMONT,TX","BEAUMONT,TX",TX
22,"BELLINGHAM,WA","BELLINGHAM,WA",WA
23,"BIRMINGHAM,AL","BIRMINGHAM,AL",AL
24,"BLAINE,WA","BLAINE,WA",WA
25,"BOISE,ID","BOISE,ID",ID
26,"BOSTON,MA","BOSTON,MA",MA
27,"BRIDGEPORT,CT","BRIDGEPORT,CT",CT
28,"BROWNSVILLE-CAMERON COUNTY,TX","BROWNSVILLE-CAMERON COUNTY,TX",TX
29,"BRUNSWICK,GA","BRUNSWICK,GA",GA
30,"BUFFALO-NIAGARA FALLS,NY","BUFFALO-NIAGARA FALLS,NY",NY
31,"BURLINGTON,VT","BURLINGTON,VT",VT
32,"BWI INTERNATIONAL AIRPORT, MD","BWI INTERNATIONAL AIRPORT, MD",MD
33,"CAMDEN,NJ","CAMDEN,NJ",NJ
34,"CAPE VINCENT,NY","CAPE VINCENT,NY",NY
35,"CARQUINEZ STRAIT,CA","CARQUINEZ STRAIT,CA",CA
36,"CBP ST. THOMAS PRECLEARANCE, ST. THOMAS, VI","CBP ST. THOMAS PRECLEARANCE, ST. THOMAS, VI",VI
37,"CHAMPLAIN-ROUSES POINT,NY","CHAMPLAIN-ROUSES POINT,NY",NY
38,"CHARLESTON,SC","CHARLESTON,SC",SC
39,"CHARLESTON,WV","CHARLESTON,WV",WV
40,"CHARLOTTE AMALIE,VIRGIN ISLANDS","CHARLOTTE AMALIE,VIRGIN ISLANDS",VI
41,"CHARLOTTE,NC","CHARLOTTE,NC",NC
42,"CHATTANOOGA,TN","CHATTANOOGA,TN",TN
43,"CHESTER,PA","CHESTER,PA",PA
44,"CHICAGO,IL","CHICAGO,IL",IL
45,"CHRISTIANSTED,VIRGIN ISLANDS","CHRISTIANSTED,VIRGIN ISLANDS",VI
46,"CINCINNATI,OH (DHL COURIER)","CINCINNATI,OH (DHL COURIER)",OH
47,"CINCINNATI-LAWRENCEBURG,OH","CINCINNATI-LAWRENCEBURG,OH",OH
48,"CLEVELAND,OH","CLEVELAND,OH",OH
49,"COLUMBIA,SC","COLUMBIA,SC",SC
50,"COLUMBUS,OH","COLUMBUS,OH",OH
51,"CONNEAUT,OH","CONNEAUT,OH",OH
52,"COOS BAY,OR","COOS BAY,OR",OR
53,"CORPUS CHRISTI,TX","CORPUS CHRISTI,TX",TX
54,"CROCKETT,CA","CROCKETT,CA",CA
55,"DALLAS LOVE FIELD USER FEE AIRP, DALLAS, TX","DALLAS LOVE FIELD USER FEE AIRP, DALLAS, TX",TX
56,"DALLAS, TX","DALLAS, TX",TX
57,"DALLAS/FT. WORTH,TX","DALLAS/FT. WORTH,TX",TX
58,"DALTON CACHE,AK","DALTON CACHE,AK",AK
59,"DAYTON,OH","DAYTON,OH",OH
60,"DEL BONITA, MT","DEL BONITA, MT",MT
61,"DEL RIO,TX","DEL RIO,TX",TX
62,"DENVER, CO","DENVER, CO",CO
63,"DES MOINES, IA","DES MOINES, IA",IA
64,"DESTREHAN,LA","DESTREHAN,LA",LA
65,"DETOUR,MI","DETOUR,MI",MI
66,"DETROIT METRO AIRPORT, DETROIT, MI","DETROIT METRO AIRPORT, DETROIT, MI",MI
67,"DETROIT,MI","DETROIT,MI",MI
68,"DHL WORLDWIDE EXPRESS, SEATAC, WA","DHL WORLDWIDE EXPRESS, SEATAC, WA",WA
69,"DHL WORLDWIDE EXPRESS,SAN FRANCISCO,CA","DHL WORLDWIDE EXPRESS,SAN FRANCISCO,CA",CA
70,"DHL WORLDWIDE,LOS ANGELES,CA","DHL WORLDWIDE,LOS ANGELES,CA",CA
71,"DULUTH, MN-SUPERIOR, WI","DULUTH,MN",MN
72,"DULUTH,MN","DULUTH,MN",MN
73,"DURHAM,NC","DURHAM,NC",NC
74,"EAGLE PASS, TX","EAGLE PASS, TX",TX
75,"EAST CHICAGO,IN","EAST CHICAGO,IN",IN
76,"EASTPORT,ME","EASTPORT,ME",ME
77,"EL PASO,TX","EL PASO,TX",TX
78,"EL SEGUNDO,CA","EL SEGUNDO,CA",CA
79,"ERIE,PA","ERIE,PA",PA
80,"ESCANABA, MI","ESCANABA, MI",MI
81,"EVERETT,WA","EVERETT,WA",WA
82,"FAJARDO,PR","FAJARDO,PR",PR
83,"FALL RIVER,MA","FALL RIVER,MA",MA
84,"FEDERAL EXPRESS COURIER FACILITY, OAKLAND, CA","FEDERAL EXPRESS COURIER FACILITY, OAKLAND, CA",CA
85,"FEDEX ECCF, NEWARK, NJ","FEDEX ECCF, NEWARK, NJ",NJ
86,"FERNANDINA BEACH, FL","FERNANDINA BEACH, FL",FL
87,"FORT MYERS AIRPORT, FL","FORT MYERS AIRPORT, FL",FL
88,"FORT PIERCE,FL","FORT PIERCE,FL",FL
89,"FREEPORT, TX (2204)","FREEPORT,TX",TX
90,"FREEPORT,TX (5311)","FREEPORT,TX",TX
91,"FRIDAY HARBOR,WA","FRIDAY HARBOR,WA",WA
92,"FRONT ROYAL,VA","FRONT ROYAL,VA",VA
93,"FT. LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT, FL","FT. LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT, FL",FL
94,"GALVESTON,TX","GALVESTON,TX",TX
95,"GARY,IN","GARY,IN",IN
96,"GATEWAY FREIGHT SERV INC, LAX, CA","GATEWAY FREIGHT SERV INC, LAX, CA",CA
