US_Port,US_Port_Clustered,STATE_CODE,US_Port_Coastal_Region
"ABERDEEN/HOQUIAM,WA","ABERDEEN/HOQUIAM,WA",WA,Northwest
"AGUADILLA,PR","AGUADILLA,PR",PR,Other
"AIR CARGO HANDLING SERVICES, INC.","AIR CARGO HANDLING SERVICES, INC.",NOT DECLARED,Other
"AIRBORNE AIR PARK, WILMINGTON,OH","AIRBORNE AIR PARK, WILMINGTON,OH",OH,Other
"AKRON,OH","AKRON,OH",OH,Other
"ALBANY, NY","ALBANY, NY",NY,Other
"ALBURQUERQUE,NM","ALBURQUERQUE,NM",NM,Other
"ANACORTES,WA","ANACORTES,WA",WA,Northwest
"ANCHORAGE,AK","ANCHORAGE,AK",AK,Other
"ANNAPOLIS,MD","ANNAPOLIS,MD",MD,Northeast
"ASHLAND, WI","ASHLAND, WI",WI,Other
"ASHTABULA,OH","ASHTABULA,OH",OH,Other
"ASTORIA,OR","ASTORIA,OR",OR,Northwest
"ATLANTA,GA","ATLANTA,GA",GA,Southeast
"AUSTIN,TX","AUSTIN,TX",TX,Other
"AVONDALE,LA","AVONDALE,LA",LA,Gulf
"BALTIMORE,MD","BALTIMORE,MD",MD,Northeast
"BANGOR,ME","BANGOR,ME",ME,Other
"BATON ROUGE,LA","BATON ROUGE,LA",LA,Other
"BAYOU CASOTTE, MS (INCLUDED IN TRAFFIC OF PASCAGOULA HARBOR, MS)","BAYOU CASOTTE, MS (INCLUDED IN TRAFFIC OF PASCAGOULA HARBOR, MS)",MS,Gulf
"BEAUFORT-MOREHEAD CITY,NC","BEAUFORT-MOREHEAD CITY,NC",NC,Southeast
"BEAUMONT,TX","BEAUMONT,TX",TX,Other
"BELLINGHAM,WA","BELLINGHAM,WA",WA,Northwest
"BIRMINGHAM,AL","BIRMINGHAM,AL",AL,Other
"BLAINE,WA","BLAINE,WA",WA,Northwest
"BOISE,ID","BOISE,ID",ID,Other
"BOSTON,MA","BOSTON,MA",MA,Northeast
"BRIDGEPORT,CT","BRIDGEPORT,CT",CT,Northeast
"BROWNSVILLE-CAMERON COUNTY,TX","BROWNSVILLE-CAMERON COUNTY,TX",TX,Gulf
"BRUNSWICK,GA","BRUNSWICK,GA",GA,Southeast
"BUFFALO-NIAGARA FALLS,NY","BUFFALO-NIAGARA FALLS,NY",NY,Other
"BURLINGTON,VT","BURLINGTON,VT",VT,Other
"BWI INTERNATIONAL AIRPORT, MD","BWI INTERNATIONAL AIRPORT, MD",MD,Other
"CAMDEN,NJ","CAMDEN,NJ",NJ,Northeast
"CAPE VINCENT,NY","CAPE VINCENT,NY",NY,Other
"CARQUINEZ STRAIT,CA","CARQUINEZ STRAIT,CA",CA,Northwest
"CBP ST. THOMAS PRECLEARANCE, ST. THOMAS, VI","CBP ST. THOMAS PRECLEARANCE, ST. THOMAS, VI",VI,Other
"CHAMPLAIN-ROUSES POINT,NY","CHAMPLAIN-ROUSES POINT,NY",NY,Other
"CHARLESTON,SC","CHARLESTON,SC",SC,Southeast
"CHARLESTON,WV","CHARLESTON,WV",WV,Other
"CHARLOTTE AMALIE,VIRGIN ISLANDS","CHARLOTTE AMALIE,VIRGIN ISLANDS",VI,Other
"CHARLOTTE,NC","CHARLOTTE,NC",NC,Other
"CHATTANOOGA,TN","CHATTANOOGA,TN",TN,Other
"CHESTER,PA","CHESTER,PA",PA,Other
"CHICAGO,IL","CHICAGO,IL",IL,Other
"CHRISTIANSTED,VIRGIN ISLANDS","CHRISTIANSTED,VIRGIN ISLANDS",VI,Other
"CINCINNATI,OH (DHL COURIER)","CINCINNATI,OH (DHL COURIER)",OH,Other
"CINCINNATI-LAWRENCEBURG,OH","CINCINNATI-LAWRENCEBURG,OH",OH,Other
"CLEVELAND,OH","CLEVELAND,OH",OH,Other
"COLUMBIA,SC","COLUMBIA,SC",SC,Other
"COLUMBUS,OH","COLUMBUS,OH",OH,Other
"CONNEAUT,OH","CONNEAUT,OH",OH,Other
"COOS BAY,OR","COOS BAY,OR",OR,Northwest
"CORPUS CHRISTI,TX","CORPUS CHRISTI,TX",TX,Gulf
"CROCKETT,CA","CROCKETT,CA",CA,Northwest
"DALLAS LOVE FIELD USER FEE AIRP, DALLAS, TX","DALLAS LOVE FIELD USER FEE AIRP, DALLAS, TX",TX,Other
"DALLAS, TX","DALLAS, TX",TX,Other
"DALLAS/FT. WORTH,TX","DALLAS/FT. WORTH,TX",TX,Other
"DALTON CACHE,AK","DALTON CACHE,AK",AK,Other
"DAYTON,OH","DAYTON,OH",OH,Other
"DEL BONITA, MT","DEL BONITA, MT",MT,Other
"DEL RIO,TX","DEL RIO,TX",TX,Other
"DENVER, CO","DENVER, CO",CO,Other
"DES MOINES, IA","DES MOINES, IA",IA,Other
"DESTREHAN,LA","DESTREHAN,LA",LA,Gulf
"DETOUR,MI","DETOUR,MI",MI,Other
"DETROIT METRO AIRPORT, DETROIT, MI","DETROIT METRO AIRPORT, DETROIT, MI",MI,Other
"DETROIT,MI","DETROIT,MI",MI,Other
"DHL WORLDWIDE EXPRESS, SEATAC, WA","DHL WORLDWIDE EXPRESS, SEATAC, WA",WA,Northwest
"DHL WORLDWIDE EXPRESS,SAN FRANCISCO,CA","DHL WORLDWIDE EXPRESS,SAN FRANCISCO,CA",CA,Northwest
"DHL WORLDWIDE,LOS ANGELES,CA","DHL WORLDWIDE,LOS ANGELES,CA",CA,Southwest
