Country,Tariff_Year,HS_Family,Average_Tariff,Free_Trade_Agreement_with_US,European_Union
Vietnam,2020,02,17.45,No,No
Vietnam,2020,07,16.14,No,No
Vietnam,2020,08,23.46,No,No
Vietnam,2020,09,21.41,No,No
Vietnam,2020,10,8.56,No,No
Vietnam,2020,11,17.04,No,No
Vietnam,2020,14,5.00,No,No
Vietnam,2020,15,10.66,No,No
Vietnam,2020,16,28.21,No,No
Vietnam,2020,17,17.79,No,No
Vietnam,2020,18,14.80,No,No
Vietnam,2020,19,29.74,No,No
Vietnam,2020,20,32.80,No,No
Vietnam,2020,22,41.53,No,No
Vietnam,2020,24,61.95,No,No
Vietnam,2020,30,1.34,No,No
Vietnam,2020,40,8.74,No,No
Vietnam,2020,47,0.10,No,No
Vietnam,2020,72,3.85,No,No
Vietnam,2020,73,11.61,No,No
Vietnam,2020,87,29.11,No,No
Vietnam,2020,94,19.14,No,No
Vietnam,2020,95,9.78,No,No
Vietnam,2019,02,17.45,No,No
Vietnam,2019,07,16.14,No,No
Vietnam,2019,08,23.46,No,No
Vietnam,2019,09,21.41,No,No
Vietnam,2019,10,8.56,No,No
Vietnam,2019,11,17.04,No,No
Vietnam,2019,14,5.00,No,No
Vietnam,2019,15,10.66,No,No
Vietnam,2019,16,28.21,No,No
Vietnam,2019,17,17.79,No,No
Vietnam,2019,18,14.80,No,No
Vietnam,2019,19,29.74,No,No
Vietnam,2019,20,32.80,No,No
Vietnam,2019,22,41.53,No,No
Vietnam,2019,24,61.95,No,No
Vietnam,2019,30,1.34,No,No
Vietnam,2019,40,8.74,No,No
Vietnam,2019,47,0.10,No,No
Vietnam,2019,72,3.85,No,No
Vietnam,2019,73,11.61,No,No
Vietnam,2019,87,29.11,No,No
Vietnam,2019,94,19.14,No,No
Vietnam,2019,95,9.78,No,No
Vietnam,2018,02,17.45,No,No
Vietnam,2018,07,16.14,No,No
Vietnam,2018,08,23.46,No,No
Vietnam,2018,09,21.41,No,No
Vietnam,2018,10,8.56,No,No
Vietnam,2018,11,17.04,No,No
Vietnam,2018,14,5.00,No,No
Vietnam,2018,15,10.66,No,No
Vietnam,2018,16,28.21,No,No
Vietnam,2018,17,17.79,No,No
Vietnam,2018,18,14.80,No,No
Vietnam,2018,19,29.74,No,No
Vietnam,2018,20,32.80,No,No
Vietnam,2018,22,41.53,No,No
Vietnam,2018,24,61.95,No,No
Vietnam,2018,30,1.34,No,No
Vietnam,2018,40,8.74,No,No
Vietnam,2018,47,0.10,No,No
Vietnam,2018,72,3.85,No,No
Vietnam,2018,73,11.61,No,No
Vietnam,2018,87,29.11,No,No
Vietnam,2018,94,19.14,No,No
Vietnam,2018,95,9.78,No,No
Vietnam,2017,02,17.45,No,No
Vietnam,2017,07,16.27,No,No
Vietnam,2017,08,23.27,No,No
Vietnam,2017,09,21.41,No,No
Vietnam,2017,10,8.56,No,No
Vietnam,2017,11,17.04,No,No
Vietnam,2017,14,5.00,No,No
Vietnam,2017,15,10.53,No,No
Vietnam,2017,16,28.25,No,No
Vietnam,2017,17,17.79,No,No
Vietnam,2017,18,16.25,No,No
Vietnam,2017,19,29.51,No,No
Vietnam,2017,20,32.76,No,No
Vietnam,2017,22,42.23,No,No
Vietnam,2017,24,61.95,No,No
Vietnam,2017,30,1.72,No,No
Vietnam,2017,40,9.11,No,No
Vietnam,2017,47,0.10,No,No
Vietnam,2017,72,3.75,No,No
Vietnam,2017,73,11.55,No,No
Vietnam,2017,87,28.03,No,No
Vietnam,2017,94,19.44,No,No
Vietnam,2017,95,9.77,No,No
Vietnam,2016,02,17.45,No,No
Vietnam,2016,07,16.27,No,No
Vietnam,2016,08,23.27,No,No
Vietnam,2016,09,21.41,No,No
Vietnam,2016,10,8.56,No,No
Vietnam,2016,11,17.04,No,No
Vietnam,2016,14,5.00,No,No
Vietnam,2016,15,10.53,No,No
Vietnam,2016,16,26.86,No,No
Vietnam,2016,17,17.79,No,No
Vietnam,2016,18,16.25,No,No
Vietnam,2016,19,29.51,No,No
Vietnam,2016,20,32.76,No,No
Vietnam,2016,22,42.23,No,No
Vietnam,2016,24,61.95,No,No
Vietnam,2016,30,1.72,No,No
Vietnam,2016,40,9.11,No,No
Vietnam,2016,47,0.10,No,No
Vietnam,2016,72,3.60,No,No
Vietnam,2016,73,11.62,No,No
Vietnam,2016,87,28.17,No,No
Vietnam,2016,94,19.44,No,No
Vietnam,2016,95,9.77,No,No
Vietnam,2015,02,17.45,No,No
Vietnam,2015,07,15.56,No,No
Vietnam,2015,08,23.27,No,No
Vietnam,2015,09,21.41,No,No
Vietnam,2015,10,8.48,No,No
Vietnam,2015,11,17.04,No,No
Vietnam,2015,14,5.00,No,No
Vietnam,2015,15,10.53,No,No
Vietnam,2015,16,25.74,No,No
Vietnam,2015,17,17.79,No,No
Vietnam,2015,18,16.25,No,No
Vietnam,2015,19,29.53,No,No
Vietnam,2015,20,32.76,No,No
Vietnam,2015,22,42.92,No,No
Vietnam,2015,24,61.95,No,No
Vietnam,2015,30,1.72,No,No
Vietnam,2015,40,8.77,No,No
Vietnam,2015,47,0.10,No,No
Vietnam,2015,72,3.28,No,No
Vietnam,2015,73,11.32,No,No
Vietnam,2015,87,27.54,No,No
Vietnam,2015,94,19.52,No,No
Vietnam,2015,95,9.77,No,No
Vietnam,2014,02,17.45,No,No
Vietnam,2014,07,15.66,No,No
Vietnam,2014,08,23.27,No,No
Vietnam,2014,09,21.41,No,No
Vietnam,2014,10,8.48,No,No
Vietnam,2014,11,17.04,No,No
Vietnam,2014,14,5.00,No,No
Vietnam,2014,15,10.53,No,No
Vietnam,2014,16,28.17,No,No
Vietnam,2014,17,17.79,No,No
Vietnam,2014,18,16.25,No,No
Vietnam,2014,19,29.53,No,No
Vietnam,2014,20,32.76,No,No
Vietnam,2014,22,42.92,No,No
Vietnam,2014,24,61.95,No,No
Vietnam,2014,30,1.72,No,No
Vietnam,2014,40,9.14,No,No
Vietnam,2014,47,0.10,No,No
Vietnam,2014,72,3.28,No,No
Vietnam,2014,73,11.17,No,No
Vietnam,2014,87,27.63,No,No
Vietnam,2014,94,19.52,No,No
Vietnam,2014,95,9.77,No,No
Vietnam,2013,02,17.38,No,No
Vietnam,2013,07,15.41,No,No
Vietnam,2013,08,23.22,No,No
Vietnam,2013,09,21.41,No,No
Vietnam,2013,10,8.48,No,No
Vietnam,2013,11,17.04,No,No
Vietnam,2013,14,5.00,No,No
Vietnam,2013,15,9.64,No,No
Vietnam,2013,16,28.17,No,No
Vietnam,2013,17,14.84,No,No
Vietnam,2013,18,15.95,No,No
Vietnam,2013,19,29.32,No,No
Vietnam,2013,20,32.84,No,No
Vietnam,2013,22,42.92,No,No
Vietnam,2013,24,60.95,No,No
Vietnam,2013,30,1.66,No,No
Vietnam,2013,40,9.04,No,No
Vietnam,2013,47,0.00,No,No
Vietnam,2013,72,2.89,No,No
Vietnam,2013,73,10.74,No,No
Vietnam,2013,87,28.08,No,No
Vietnam,2013,94,19.52,No,No
Vietnam,2013,95,9.77,No,No
Vietnam,2012,02,17.45,No,No
Vietnam,2012,07,15.41,No,No
Vietnam,2012,08,23.22,No,No
Vietnam,2012,09,21.41,No,No
Vietnam,2012,10,8.48,No,No
Vietnam,2012,11,17.04,No,No
Vietnam,2012,14,5.00,No,No
Vietnam,2012,15,9.64,No,No
Vietnam,2012,16,28.22,No,No
Vietnam,2012,17,10.13,No,No
Vietnam,2012,18,15.95,No,No
Vietnam,2012,19,29.35,No,No
Vietnam,2012,20,32.80,No,No
Vietnam,2012,22,43.87,No,No
Vietnam,2012,24,60.95,No,No
Vietnam,2012,30,1.69,No,No
Vietnam,2012,40,9.08,No,No
Vietnam,2012,47,0.00,No,No
Vietnam,2012,72,2.74,No,No
Vietnam,2012,73,10.79,No,No
Vietnam,2012,87,28.70,No,No
Vietnam,2012,94,19.27,No,No
Vietnam,2012,95,9.77,No,No
Vietnam,2011,02,17.73,No,No
Vietnam,2011,07,16.72,No,No
Vietnam,2011,08,24.50,No,No
Vietnam,2011,09,22.10,No,No
Vietnam,2011,10,11.67,No,No
Vietnam,2011,11,16.96,No,No
Vietnam,2011,14,5.00,No,No
Vietnam,2011,15,10.27,No,No
Vietnam,2011,16,32.23,No,No
Vietnam,2011,17,14.38,No,No
Vietnam,2011,18,15.32,No,No
Vietnam,2011,19,29.84,No,No
Vietnam,2011,20,31.94,No,No
Vietnam,2011,22,48.31,No,No
Vietnam,2011,24,62.50,No,No
Vietnam,2011,30,1.64,No,No
Vietnam,2011,40,9.37,No,No
Vietnam,2011,47,0.00,No,No
Vietnam,2011,72,2.75,No,No
Vietnam,2011,73,10.96,No,No
Vietnam,2011,87,28.31,No,No
Vietnam,2011,94,21.76,No,No
Vietnam,2011,95,10.78,No,No
Vietnam,2010,02,17.73,No,No
Vietnam,2010,07,16.72,No,No
Vietnam,2010,08,24.50,No,No
Vietnam,2010,09,22.10,No,No
Vietnam,2010,10,11.67,No,No
Vietnam,2010,11,16.96,No,No
Vietnam,2010,14,5.00,No,No
Vietnam,2010,15,10.27,No,No
Vietnam,2010,16,32.23,No,No
Vietnam,2010,17,14.38,No,No
Vietnam,2010,18,15.32,No,No
Vietnam,2010,19,29.84,No,No
Vietnam,2010,20,31.94,No,No
Vietnam,2010,22,48.31,No,No
Vietnam,2010,24,62.50,No,No
Vietnam,2010,30,1.64,No,No
Vietnam,2010,40,9.37,No,No
Vietnam,2010,47,0.00,No,No
Vietnam,2010,72,2.75,No,No
Vietnam,2010,73,10.96,No,No
Vietnam,2010,87,28.31,No,No
Vietnam,2010,94,21.76,No,No
Vietnam,2010,95,10.78,No,No
United States,2020,02,4.50,,No
United States,2020,07,8.59,,No
United States,2020,08,3.43,,No
United States,2020,09,0.26,,No
United States,2020,10,1.53,,No
