Variable,Feature_Importance
Average_Tariff,0.20320240778861115
US_Unemployment_Rate,0.15151751712611392
HS_Group_Name_Finished Goods,0.12272530124017496
Container_LCL/FCL_LCL,0.06262808161344488
HS_Group_Name_Raw Input,0.03931959014577469
Container_Type_Dry,0.03528643230105041
HS_Mixed,0.027328488892690347
foreign_company_size_large,0.026212975899379865
Foreign_Company_Country_Continent_Unknown,0.024029024110747192
US_Port_Coastal_Region_Northeast,0.01952020462977752
US_Port_Coastal_Region_Southeast,0.019515869047804894
US_Port_Coastal_Region_Southwest,0.015278778376369685
carrier_size_large,0.015153973525141678
us_company_size_medium,0.014310141505436948
Foreign_Country_Region_Southeast Asia,0.014244627979375792
us_company_size_large,0.014102543722698098
US_Port_Coastal_Region_Northwest,0.013391599824082268
Foreign_Country_Region_Other East Asia (not China),0.012919027434221544
Container_Type_Refrigerated,0.011995024043329163
foreign_company_size_medium,0.011663679350798624
us_company_size_small,0.011297256506827858
foreign_company_size_unknown,0.010299307404500984
foreign_company_size_small,0.009076354363536454
Foreign_Company_Country_Continent_North America,0.009045324480015167
Foreign_Country_Continent_Asia,0.008604116587216364
us_company_size_micro,0.008316335434439739
Foreign_Company_Country_Continent_Asia,0.00786483157102536
HS_Group_Name_Edible with Processing,0.00770892507145839
Foreign_Company_Country_Continent_Europe,0.0073298012215050525
Foreign_Country_Region_Other Europe (not European Union),0.007170171727881602
US_Port_Coastal_Region_Other,0.0071495106060227446
HS_Group_Name_Vices,0.0065683223496250795
carrier_size_medium,0.006242860623625278
foreign_company_size_micro,0.0052722641936204
Foreign_Country_Region_South Asia,0.004616876926727077
us_company_size_unknown,0.003814072703439213
Foreign_Country_Region_Middle East & North Africa,0.0035391447657379923
Foreign_Country_Continent_Europe,0.0027315981654070422
Foreign_Country_Continent_North America,0.00256938020362775
Foreign_Country_Region_North America,0.002519460686609632
Foreign_Country_Region_European Union,0.0024961900564659913
Foreign_Country_Continent_South America,0.0020844626329361003
HS_Group_Name_Pharma,0.0020404157522215492
Foreign_Company_Country_Continent_South America,0.001962942906207264
Foreign_Country_Region_South America,0.0018919065142162018
carrier_size_small,0.001150991661282998
Foreign_Country_Region_Sub Saharan Africa,0.0007512810572923832
Foreign_Country_Continent_Oceania,0.0004533584878817623
Foreign_Country_Region_Oceania,0.00042863039155860894
Foreign_Company_Country_Continent_Oceania,0.000335524532328717
US_Port_Coastal_Region_NOT DECLARED,0.0002067216021679241
carrier_size_micro,0.00011637025556771861
