Variable,Feature_Importance
Price,0.14661368718577777
Average_Tariff,0.12679767221236055
HS_Group_Name_Finished Goods,0.11906591696803331
US_Unemployment_Rate,0.08300065827936702
Currency_CNY,0.059870097930946935
Container_LCL/FCL_LCL,0.05581816855871182
Container_Type_Dry,0.030019014862860453
Trade_Direction_Import,0.023179126584239637
HS_Group_Name_Raw Input,0.02071947327804992
foreign_company_size_large,0.018966066620960537
HS_Mixed,0.018791051270910356
US_Port_Coastal_Region_Southeast,0.018206761647923623
cases_weekly,0.016597605710801957
US_Port_Coastal_Region_Northeast,0.01649494816991749
us_company_size_medium,0.01447424677346088
deaths_weekly,0.014405068866374772
us_company_size_large,0.014337926774596978
US_Port_Coastal_Region_Southwest,0.014062012338025943
carrier_size_large,0.012777880249674339
US_Port_Coastal_Region_Northwest,0.012507728616771548
foreign_company_size_unknown,0.012421635918802252
us_company_size_small,0.011163976988533662
Container_Type_Refrigerated,0.009907629263149987
foreign_company_size_medium,0.009646176931129388
us_company_size_micro,0.008338401069208216
foreign_company_size_small,0.006796073407628029
Foreign_Company_Country_Continent_North America,0.005739473549859259
US_Port_Coastal_Region_Other,0.005614945617428323
Currency_HK,0.005487519156968902
Foreign_Company_Country_Continent_Europe,0.00548310439566811
HS_Group_Name_Edible with Processing,0.005332039280141382
HS_Group_Name_Vices,0.0052084616990718735
carrier_size_medium,0.0049495693063785415
Foreign_Country_Region_South Asia,0.0046507949423218245
foreign_company_size_micro,0.004356907282307491
Foreign_Country_Region_Other East Asia (not China),0.004224858150016834
Currency_EUR,0.0038488291228206384
Foreign_Company_Country_Continent_Unknown,0.0036080144377709155
Foreign_Company_Country_Continent_Asia,0.0032773521927924464
Currency_THB,0.003181280118706316
us_company_size_unknown,0.0030518488494397896
HS_Group_Name_Pharma,0.0025552610018717355
Foreign_Country_Region_Middle East & North Africa,0.0022231074079936135
Currency_BRL,0.002103753081950558
Foreign_Country_Region_Southeast Asia,0.0019252692603385687
Currency_JPY,0.0019158252367730895
Currency_MXN,0.001635601015514746
Free_Trade_Agreement_with_US_True,0.0015892141213489593
Currency_TWD,0.0013966433559829204
Currency_GBP,0.0013308894826028332
Foreign_Country_Continent_Asia,0.0011993816810900006
Currency_INR,0.0010383873026989202
Foreign_Country_Continent_South America,0.0009957787122366415
carrier_size_small,0.0009677810002380981
Foreign_Country_Region_South America,0.0009558792830926806
Foreign_Country_Region_Other Europe (not European Union),0.0009479008724764991
Currency_PHP,0.0008826294808740216
Currency_KRW,0.0008560969352240877
Currency_ARS,0.0008476686392492525
Foreign_Company_Country_Continent_South America,0.0007291238791621357
Foreign_Country_Continent_North America,0.0006804565694625588
Currency_GTQ,0.0006350074033347409
Currency_IDR,0.0005417505738454675
Currency_CLD,0.0005294411224313574
Foreign_Country_Region_North America,0.0005230733349001255
Currency_MYR,0.0005176979422310871
Currency_TRY,0.0005017938519103971
Currency_RUB,0.0004802461775856433
Currency_DOP,0.0004793908328734074
Currency_CRC,0.00047042732436105975
Currency_SGB,0.00046122156800457707
Currency_CHF,0.0004534649373945786
Currency_AUD,0.0004423257765048266
Currency_HNL,0.00043980614179049525
Currency_CAD,0.00043432098763264155
Currency_SAR,0.00036392782736816833
Currency_ZAR,0.000324350000262386
Foreign_Country_Region_Sub Saharan Africa,0.00031620800542387105
Currency_NZD,0.0003155114065421038
Foreign_Country_Region_Oceania,0.00023124026080217287
Foreign_Company_Country_Continent_Oceania,0.0002280611012018236
Foreign_Country_Continent_Oceania,0.0002257411282119861
Currency_PEN,0.00022232722404148946
European_Union_True,0.00021978665703180803
Foreign_Country_Region_European Union,0.00021814571339591628
Foreign_Country_Continent_Europe,0.00019656763270653482
US_Port_Coastal_Region_NOT DECLARED,0.00012758917514846233
Currency_COP,0.00012483109240651449
Currency_PKR,0.00011687842943142927
carrier_size_micro,8.821347113304434e-05
