feature,weight,std
TCVUSD,0.5689590467848594,0.00908714893757703
Container_Type_Dry_True,0.2639000352339018,0.014665190267993919
HS_Group_Name_Raw Input,0.17599418460151625,0.00413800163957592
Average_Tariff,0.16911260690146085,0.004712215027118411
Foreign_Country_Region_South America,0.0833471640795265,0.003347294218510798
foreign_company_size,0.08019131325174104,0.003841648925474263
HS_Group_Name_Finished Goods,0.06870419971970791,0.00457689977422418
US_Port_Coastal_Region_Northwest,0.05787313712443613,0.005222670905245278
Foreign_Country_Region_Other Europe (not European Union),0.03918704802162256,0.005606826356027241
Trade_Direction_Import,0.037288721572803316,0.0024274484434840694
US_Port_Coastal_Region_Southeast,0.0363550755703659,0.010242228683895504
HS_Group_Name_Edible with Processing,0.032280387123775546,0.0027211474707989087
US_Port_Coastal_Region_Other,0.03000203608424199,0.0009023562943986121
US_Port_Coastal_Region_Northeast,0.027713484881058025,0.007602387684338447
HS_Group_Name_Pharma,0.02507186430596966,0.0002654788195852941
Year,0.023350454362493743,0.003818868794505624
Foreign_Country_Region_Other East Asia (not China),0.015547224989139985,0.0009499424209222843
Foreign_Country_Region_Southeast Asia,0.014888406457570525,0.0018197512164452262
Foreign_Country_Region_North America,0.014535734679691603,0.002225471747703416
HS_Group_Name_Vices,0.013203274296223078,0.003957892055494844
