feature,weight,std
TCVUSD,0.926892000901438,0.00042621863446926664
Average_Tariff,0.2816210998185954,0.0002810854944385786
US_Port_Coastal_Region_Southeast,0.11548409122117324,0.00014153860560992966
US_Port_Coastal_Region_Northwest,0.11376063713708484,0.00024833242309892285
Trade_Direction_Import,0.10732159780541853,0.00029272551599595725
us_company_size,0.07632287854892124,0.00020882615312364488
Year,0.07512444938461975,0.0002260037462854708
Container_Type_Dry_True,0.052019431215686286,0.0002851384917828676
US_Port_Coastal_Region_Northeast,0.04591740962629052,0.00010658562672820901
Foreign_Country_Region_Other Europe (not European Union),0.03937024999139569,0.00012848404051752195
State_Closure_EA_Diff,0.038908157613750126,0.00015203955814391487
Foreign_Country_Region_Sub Saharan Africa,0.03618656770794695,8.949588695686529e-05
HS_Group_Name_Pharma,0.03105270411704324,0.00013700879867836516
Container_LCL/FCL_LCL,0.02751131781300007,8.478009768744358e-05
deaths_weekly,0.02528086682479027,3.2526898926320974e-05
US_Port_Coastal_Region_Other,0.024644702825762477,4.873518606238184e-05
US_Port_Coastal_Region_Southwest,0.0219453955161089,3.370392459024318e-05
cases_weekly,0.019888136467086027,5.2143809582541656e-05
HS_Group_Name_Finished Goods,0.019155524537299205,8.923696552008406e-05
HS_Group_Name_Raw Input,0.018606918368134218,7.683723058403332e-05
