feature,weight,std
TCVUSD,1.1250322258535976,0.0055050719613935544
Average_Tariff,0.7557091480554462,0.01678128672627125
foreign_company_size,0.4705606303856878,0.010779566059344397
Foreign_Country_Region_Southeast Asia,0.4546322419127657,0.0030771249235858724
Container_Type_Dry_True,0.3834948746218223,0.011734830088706065
Trade_Direction_Import,0.3355168505284444,0.003428050898925919
US_company_size,0.23410300578783763,0.004859570352131044
Foreign_Country_Region_Sub Saharan Africa,0.1971512806173023,0.016018860622044787
Foreign_Country_Region_Middle East & North Africa,0.14869973376483042,0.0068308180254400466
HS_Group_Name_Finished Goods,0.14728770638774014,0.006942121773577446
Foreign_Country_Region_South America,0.14671109128008686,0.0026401108178048414
US_Unemployment_Rate,0.14596544534429884,0.0029846982594997204
HS_Group_Name_Pharma,0.13580317631288136,0.0017403983742044712
US_Port_Coastal_Region_Other,0.09622234435637608,0.00345793911317327
HS_Group_Name_Raw Input,0.09163190743852352,0.0037812696178839986
HS_Group_Name_Edible with Processing,0.08703839022596213,0.006846361824820551
HS_Group_Name_Vices,0.08411986651491218,0.005901118193470626
Foreign_Country_Region_European Union,0.06865241184277737,0.0015270262620715094
Foreign_Country_Region_Other Europe (not European Union),0.06326476418183832,0.0019723725151934777
Foreign_Country_Region_South Asia,0.04982122532248316,0.000639859022752845
