feature,weight,std
TCVUSD,1.34533702287762,0.005254825095735256
Average_Tariff,0.7398781359412968,0.005633114234735429
US_Unemployment_Rate,0.5653512857078652,0.010281626046664678
US_company_size,0.3267588385309554,0.008431972790397944
Foreign_Country_Region_Southeast Asia,0.32539322864777703,0.005211999287724209
Foreign_Country_Region_Middle East & North Africa,0.30356048694332216,0.0030033027674324525
foreign_company_size,0.29889755534049145,0.006055142498940216
Container_Type_Dry_True,0.2628254166517842,0.0011378824662287594
HS_Group_Name_Vices,0.23758358106769784,0.013078604720129275
Foreign_Country_Region_South America,0.1985208813372001,0.001975692979022522
Foreign_Country_Region_European Union,0.10361526635076397,0.0018558667412282676
HS_Group_Name_Raw Input,0.10046981347364074,0.008053038408499429
Foreign_Country_Region_Other Europe (not European Union),0.09710340794311174,0.0009399687563326933
HS_Group_Name_Edible with Processing,0.08923702118240022,0.004316445376938706
Trade_Direction_Import,0.08155231459128753,0.002771345933122483
HS_Group_Name_Pharma,0.07983742707122525,0.0018043019206432631
US_Port_Coastal_Region_Southwest,0.07337703585751143,0.0007548560672766948
HS_Group_Name_Finished Goods,0.0721059085011243,0.004281529391333991
US_Port_Coastal_Region_Northwest,0.06001735037031275,0.0027267581627422577
Foreign_Country_Region_Oceania,0.05703759214986663,0.001990162583993597
