feature,weight,std
TCVUSD,0.893038728349102,0.0005092154480041979
Average_Tariff,0.2751589131597682,0.00029178305497029925
US_Port_Coastal_Region_Northwest,0.18074179504148605,0.0004281109412090819
Trade_Direction_Import,0.12977577985620145,0.00035471541970711034
US_Port_Coastal_Region_Southeast,0.11081715712929888,0.000180302909737226
Year,0.07585083187995287,0.0001788600422284116
us_company_size,0.06585295303675551,0.00020130102632775066
Container_Type_Dry_True,0.05137959668835157,0.0002915191404498357
US_Port_Coastal_Region_Northeast,0.04666380810149791,0.0001329208953010667
HS_Group_Name_Pharma,0.04190990807019897,0.00016788362131806716
State_Closure_EA_Diff,0.036639806913021065,0.00017154038761930184
Foreign_Country_Region_Other Europe (not European Union),0.035317265802846,8.684011922928876e-05
Foreign_Country_Region_Sub Saharan Africa,0.029991403896499458,0.0001083618042256653
Container_LCL/FCL_LCL,0.027276732580242213,0.00010623098787675917
US_Port_Coastal_Region_Other,0.026774358352601824,6.116557607168119e-05
HS_Group_Name_Raw Input,0.02011553523465668,5.572833869527565e-05
HS_Group_Name_Finished Goods,0.0195915689844409,5.1233830129343035e-05
Foreign_Country_Region_South Asia,0.01931085742737686,5.955805779677822e-05
US_Port_Coastal_Region_Southwest,0.018236822071342453,9.958152758445552e-06
Foreign_Country_Region_Middle East & North Africa,0.01569940894721835,9.584080750547465e-05
