feature,weight,std
TCVUSD,0.22971424224588444,0.0023728073583280484
Container_Type_Dry_True,0.11669518564740373,0.0037481352090092744
HS_Group_Name_Raw Input,0.07773178259938003,0.0033062495427812052
Average_Tariff,0.06430344170617916,0.0035645857042827097
Year,0.0413101169151938,0.0022048803329272186
Foreign_Country_Region_South America,0.037186234953174344,0.000639291974899357
HS_Group_Name_Edible with Processing,0.011761074222535629,0.000546981482495013
HS_Group_Name_Finished Goods,0.010787432442499334,0.0007212029860805093
Trade_Direction_Import,0.010676723731249994,0.0008445237130780138
Foreign_Country_Region_Other Europe (not European Union),0.00902539979507031,0.0007817345876906382
Foreign_Country_Region_North America,0.008058434336001175,0.0008379196762780094
US_Port_Coastal_Region_Other,0.007631780918276676,0.00033750395639068676
US_Port_Coastal_Region_Northeast,0.007351771519964911,0.002869360419526275
US_Unemployment_Rate,0.007250239908652967,0.00194215113958149
US_Port_Coastal_Region_Southwest,0.00500373294726888,0.0012006218922784335
Foreign_Country_Region_Middle East & North Africa,0.0041572130123494365,0.00021293939739024304
Foreign_Country_Region_European Union,0.0034465688747300272,0.0004676985561121365
Foreign_Country_Region_Southeast Asia,0.003409719574609227,0.0014115490648766713
US_Port_Coastal_Region_Southeast,0.0033609718893957696,0.0035219026718668676
HS_Group_Name_Pharma,0.002814979810130591,0.00023349250179930208
