feature,weight,std
cases_weekly,1.1445582358249247,0.0007090682005606432
TCVUSD,0.9533902228294036,0.0012667792505284949
deaths_weekly,0.9367393587278036,0.0009108995800318118
Average_Tariff,0.4988868112939217,0.0008617962828642372
HS_Group_Name_Finished Goods,0.1519811371939838,0.0003475062817350611
Trade_Direction_Import,0.12549232218413736,0.00028450045843072885
HS_Group_Name_Raw Input,0.11552472775850597,0.0003944053513444335
Foreign_Country_Region_South Asia,0.10544120550450695,0.0004285620838224022
HS_Group_Name_Pharma,0.0554406261937239,0.00023730630106394903
State_Closure_EA_Diff,0.053105528225864805,0.0002791535456177814
Container_Type_Dry_True,0.05137086907187871,0.00022850713536748263
Foreign_Country_Region_European Union,0.05057484476995342,0.00025296613051056734
HS_Group_Name_Edible with Processing,0.04686769880751791,0.00017206704429429502
US_company_size,0.044980869004507665,0.00019255833143907433
Foreign_Country_Region_Other East Asia (not China),0.04378806810830234,0.0001830375408329963
Foreign_Country_Region_North America,0.03590533466709069,0.00022900023243360257
Container_LCL/FCL_LCL,0.028686661675257574,0.00012913449555584567
Foreign_Country_Region_South America,0.025870602614158945,0.00041304782830014336
Foreign_Country_Region_Southeast Asia,0.024453315423142684,0.00012017985249150697
US_Port_Coastal_Region_Southeast,0.023409995285755957,0.000134944267693642
