feature,weight,std
TCVUSD,1.0329701345439566,0.002995288240180985
Average_Tariff,0.5081552276076169,0.0010869151831407495
HS_Group_Name_Finished Goods,0.17318648846911483,0.0006737497514535458
Trade_Direction_Import,0.15018472635687424,0.0005123827963132323
Foreign_Country_Region_South Asia,0.14352581914584464,0.0006886689332015303
HS_Group_Name_Raw Input,0.09193646412215702,0.0006013439624517477
State_Closure_EA_Diff,0.06914129952519073,0.00041562411231195695
Container_Type_Dry_True,0.06092460552091392,0.0010437985761156288
HS_Group_Name_Pharma,0.05864718864445841,0.00011908370098969291
HS_Group_Name_Edible with Processing,0.04936350795427837,0.000237466935475812
Foreign_Country_Region_Southeast Asia,0.03996958435371649,0.00050512329288028
Foreign_Country_Region_Other East Asia (not China),0.0340267483510047,0.0002684872597118932
Foreign_Country_Region_South America,0.034002549234448384,0.0003449715039321364
Foreign_Country_Region_North America,0.029599761347053954,0.0006480846593634943
Foreign_Country_Region_European Union,0.029420581164385683,0.00031588741707308396
US_Port_Coastal_Region_Southeast,0.029040727493373098,7.996464378594562e-05
US_Port_Coastal_Region_Northeast,0.027155445083205977,0.0001599525654519531
US_Port_Coastal_Region_Northwest,0.024454907169170582,0.0006270167049939707
HS_Group_Name_Vices,0.019355432769067128,0.00044994371954639893
Container_LCL/FCL_LCL,0.018457620120318263,0.0002363045173163004
