feature,weight,std
TCVUSD,0.9187377734823967,0.0010412677643434902
Average_Tariff,0.30715783828364485,0.000602699520195053
HS_Group_Name_Finished Goods,0.1246953066639342,0.00047523870278627514
HS_Group_Name_Raw Input,0.12187185312759727,0.00012743451559564254
Trade_Direction_Import,0.11424870302635996,0.00028557324770906703
Container_Type_Dry_True,0.059826453505829644,0.00017097825290697083
Foreign_Country_Region_European Union,0.04474551470644996,0.00021744829584016917
State_Closure_EA_Diff,0.04398075890660458,0.00020080751786469652
Foreign_Country_Region_Other East Asia (not China),0.0369317595001196,0.00023423607107415616
HS_Group_Name_Edible with Processing,0.03270011270691915,0.0002032510600444729
Foreign_Country_Region_South Asia,0.03128443681548572,8.848784476571452e-05
Container_LCL/FCL_LCL,0.02771227194409187,0.00021235910908839743
HS_Group_Name_Pharma,0.024897897594456774,4.407176743987963e-05
US_Port_Coastal_Region_Southeast,0.020380705490899254,0.0001315983007134295
US_Port_Coastal_Region_Northeast,0.02022144012153173,0.00011952598547371662
Foreign_Country_Region_South America,0.01939207768133886,5.438465650679229e-05
Foreign_Country_Region_Southeast Asia,0.01668547045303581,0.00016156294481054674
Foreign_Country_Region_North America,0.014605604426422624,0.00010623792899168369
US_company_size,0.014467022822059273,0.0003177946409829137
US_Port_Coastal_Region_Northwest,0.01336237392243802,0.00014250996013156667
