,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
0,0,0,5.002324578,"{'colsample_bylevel': 0.7775870951013801, 'colsample_bytree': 0.9769715560393099, 'gamma': 11.259597492583747, 'learning_rate': 0.07651835864325673, 'max_depth': 26, 'min_child_weight': 5, 'n_estimators': 564, 'reg_alpha': 2, 'reg_lambda': 71.98534011056965, 'subsample': 0.6419737010197872}",64,1380.819158
1,1,1,5.064879936,"{'colsample_bylevel': 0.7301234548626332, 'colsample_bytree': 0.9336259162828375, 'gamma': 12.073658120781559, 'learning_rate': 0.11859332772130274, 'max_depth': 25, 'min_child_weight': 2, 'n_estimators': 694, 'reg_alpha': 23, 'reg_lambda': 76.30262471487737, 'subsample': 0.785354790054815}",68,1190.122327
2,2,2,5.077118901,"{'colsample_bylevel': 0.4772751676793296, 'colsample_bytree': 0.9255857381656353, 'gamma': 10.20032090859263, 'learning_rate': 0.048836991473126146, 'max_depth': 25, 'min_child_weight': 1, 'n_estimators': 411, 'reg_alpha': 23, 'reg_lambda': 69.32808372754324, 'subsample': 0.756209329402311}",73,852.7013439
3,3,3,5.081082454,"{'colsample_bylevel': 0.4723247059089522, 'colsample_bytree': 0.8385448833627112, 'gamma': 8.99605291442937, 'learning_rate': 0.08313789103332328, 'max_depth': 17, 'min_child_weight': 1, 'n_estimators': 420, 'reg_alpha': 23, 'reg_lambda': 0.09873281874071438, 'subsample': 0.7829722609999529}",76,294.1014862
4,4,4,5.110501216,"{'colsample_bylevel': 0.5177353167434315, 'colsample_bytree': 0.9296573957085621, 'gamma': 12.213758993819244, 'learning_rate': 0.04918016534715249, 'max_depth': 25, 'min_child_weight': 1, 'n_estimators': 403, 'reg_alpha': 23, 'reg_lambda': 69.58524516759186, 'subsample': 0.690356848135218}",72,812.8684693
5,5,5,5.124349783,"{'colsample_bylevel': 0.9385836207629226, 'colsample_bytree': 0.9636552079976224, 'gamma': 13.998750155021051, 'learning_rate': 0.09488805336020675, 'max_depth': 26, 'min_child_weight': 2, 'n_estimators': 111, 'reg_alpha': 11, 'reg_lambda': 71.7890136998801, 'subsample': 0.727596081142612}",21,331.7627778
6,6,6,5.171483946,"{'colsample_bylevel': 0.6144483929048308, 'colsample_bytree': 0.9874359891333807, 'gamma': 14.389415819549725, 'learning_rate': 0.08938265528084641, 'max_depth': 25, 'min_child_weight': 27, 'n_estimators': 312, 'reg_alpha': 22, 'reg_lambda': 63.229303304657, 'subsample': 0.8458316965285767}",98,328.7153796
7,7,7,5.179151489,"{'colsample_bylevel': 0.9321150382735445, 'colsample_bytree': 0.9434085416539499, 'gamma': 4.545829370452473, 'learning_rate': 0.15433413326076917, 'max_depth': 18, 'min_child_weight': 18, 'n_estimators': 410, 'reg_alpha': 11, 'reg_lambda': 56.09867644572064, 'subsample': 0.8778086037600205}",8,224.4989135
8,8,8,5.202298589,"{'colsample_bylevel': 0.6383430698640201, 'colsample_bytree': 0.9999168174104802, 'gamma': 2.538077664041395, 'learning_rate': 0.16905829057850763, 'max_depth': 18, 'min_child_weight': 17, 'n_estimators': 282, 'reg_alpha': 12, 'reg_lambda': 11.179314273761534, 'subsample': 0.8688298327093328}",48,158.140464
9,9,9,5.203730856,"{'colsample_bylevel': 0.3151858702864436, 'colsample_bytree': 0.8991062406914871, 'gamma': 10.166471189914661, 'learning_rate': 0.10832378804958473, 'max_depth': 25, 'min_child_weight': 1, 'n_estimators': 331, 'reg_alpha': 23, 'reg_lambda': 59.396037818958604, 'subsample': 0.8337237198963647}",74,528.375246
10,10,10,5.219893092,"{'colsample_bylevel': 0.43579141070297855, 'colsample_bytree': 0.8569128015085984, 'gamma': 5.999116815084687, 'learning_rate': 0.08976340155071746, 'max_depth': 26, 'min_child_weight': 29, 'n_estimators': 674, 'reg_alpha': 11, 'reg_lambda': 42.12958962464306, 'subsample': 0.9414394746605879}",27,785.5594166
11,11,11,5.222351296,"{'colsample_bylevel': 0.8492056710365127, 'colsample_bytree': 0.7379338219865196, 'gamma': 8.291544084017197, 'learning_rate': 0.13483632593245665, 'max_depth': 21, 'min_child_weight': 3, 'n_estimators': 535, 'reg_alpha': 11, 'reg_lambda': 94.73716910522114, 'subsample': 0.800763335832914}",55,699.4355946
12,12,12,5.250594177,"{'colsample_bylevel': 0.6563672216700545, 'colsample_bytree': 0.9452033467573262, 'gamma': 3.2877771807694947, 'learning_rate': 0.25897113628568835, 'max_depth': 27, 'min_child_weight': 20, 'n_estimators': 186, 'reg_alpha': 17, 'reg_lambda': 77.22468065421198, 'subsample': 0.8302754228517664}",38,417.3336359
13,13,13,5.260728343,"{'colsample_bylevel': 0.8280597783564045, 'colsample_bytree': 0.9852819392481242, 'gamma': 12.090121914570542, 'learning_rate': 0.11039916407904464, 'max_depth': 18, 'min_child_weight': 18, 'n_estimators': 453, 'reg_alpha': 11, 'reg_lambda': 64.70565763815006, 'subsample': 0.7201380465398847}",22,225.710735
14,14,14,5.264212575,"{'colsample_bylevel': 0.5766687249511026, 'colsample_bytree': 0.9984233215668202, 'gamma': 13.97340855679668, 'learning_rate': 0.0711173097065065, 'max_depth': 25, 'min_child_weight': 9, 'n_estimators': 158, 'reg_alpha': 29, 'reg_lambda': 76.98745571942337, 'subsample': 0.786535049406309}",71,235.4264797
15,15,15,5.265727432,"{'colsample_bylevel': 0.9014055843238344, 'colsample_bytree': 0.6724643784093847, 'gamma': 14.875255438120169, 'learning_rate': 0.07395350548203097, 'max_depth': 26, 'min_child_weight': 2, 'n_estimators': 323, 'reg_alpha': 16, 'reg_lambda': 92.41856191130081, 'subsample': 0.7754981531481544}",6,690.9888951
16,16,16,5.29808079,"{'colsample_bylevel': 0.4233596762004628, 'colsample_bytree': 0.8595733677365329, 'gamma': 7.600665139277057, 'learning_rate': 0.06794951204235286, 'max_depth': 25, 'min_child_weight': 16, 'n_estimators': 308, 'reg_alpha': 5, 'reg_lambda': 89.99586561646774, 'subsample': 0.8169436822994802}",78,375.8698959
17,17,17,5.30398816,"{'colsample_bylevel': 0.3836943745310658, 'colsample_bytree': 0.8660934308018907, 'gamma': 10.4080934682207, 'learning_rate': 0.12127081503580779, 'max_depth': 20, 'min_child_weight': 1, 'n_estimators': 422, 'reg_alpha': 19, 'reg_lambda': 83.30641660497113, 'subsample': 0.7374280036619891}",94,369.5690478
18,18,18,5.309400989,"{'colsample_bylevel': 0.9337904515443238, 'colsample_bytree': 0.9356146056898358, 'gamma': 12.635329348068646, 'learning_rate': 0.2964589250649049, 'max_depth': 20, 'min_child_weight': 14, 'n_estimators': 550, 'reg_alpha': 20, 'reg_lambda': 52.217738471780265, 'subsample': 0.9146343332246336}",63,334.727801
19,19,19,5.320395895,"{'colsample_bylevel': 0.6494190006201608, 'colsample_bytree': 0.7705505370774797, 'gamma': 11.527936496705763, 'learning_rate': 0.02461509312302875, 'max_depth': 23, 'min_child_weight': 4, 'n_estimators': 648, 'reg_alpha': 7, 'reg_lambda': 62.83801410208161, 'subsample': 0.6122575893971565}",84,942.0095387
20,20,20,5.323230505,"{'colsample_bylevel': 0.2785908188717222, 'colsample_bytree': 0.7599772838752363, 'gamma': 8.052479248343467, 'learning_rate': 0.07214312597634898, 'max_depth': 24, 'min_child_weight': 2, 'n_estimators': 677, 'reg_alpha': 0, 'reg_lambda': 82.67530267819106, 'subsample': 0.9471851744657502}",39,673.7330362
21,21,21,5.334557736,"{'colsample_bylevel': 0.5973495147932157, 'colsample_bytree': 0.9454090676814917, 'gamma': 1.788521104171644, 'learning_rate': 0.20709697608516286, 'max_depth': 18, 'min_child_weight': 6, 'n_estimators': 159, 'reg_alpha': 21, 'reg_lambda': 60.95178651991038, 'subsample': 0.7621398831062851}",28,111.4477988
