US_Port
"SAN JUAN,PR"
"NORFOLK,VA"
"NEW YORK, NY"
"LONG BEACH,CA"
"LOS ANGELES,CA"
"OAKLAND,CA"
"SAVANNAH,GA"
"NEW YORK/NEWARK AREA, NEWARK, NEW JERSEY"
"BALTIMORE,MD"
"PROVIDENCE,RI"
"HONOLULU,HI"
"TACOMA,WA"
"CHARLESTON,SC"
"SEATTLE,WA"
"WILMINGTON,DE"
"MIAMI,FL"
"HOUSTON,TX"
"NEW ORLEANS,LA"
"PORT EVERGLADES,FL"
"MAYAGUEZ,PR"
"PORTSMOUTH,NH"
"BEAUFORT-MOREHEAD CITY,NC"
"BRUNSWICK,GA"
"PORT HUENEME,CA"
"ASHTABULA,OH"
"PHILADELPHIA,PA"
"DETROIT,MI"
"FREEPORT,TX (5311)"
"WORCESTER,MA"
"LONGVIEW,WA"
"PORTLAND,OR"
"JACKSONVILLE,FL"
"MOBILE,AL"
"BOSTON,MA"
"CHESTER,PA"
"WEST PALM BEACH,FL"
"PANAMA CITY,FL"
"MORGAN CITY,LA"
"GULFPORT,MS"
"BROWNSVILLE-CAMERON COUNTY,TX"
"EVERETT,WA"
"CHICAGO,IL"
"ATLANTA,GA"
"COLUMBUS,OH"
"SAN DIEGO,CA"
"DALLAS/FT. WORTH,TX"
"TAMPA,FL"
"WILMINGTON,NC"
"VANCOUVER,WA"
"PONCE,PR"
"BATON ROUGE,LA"
"GALVESTON,TX"
"FERNANDINA BEACH, FL"
"GRAMERCY,LA"
"PORT MANATEE,FL"
"STOCKTON,CA"
"CROCKETT,CA"
"NASHVILLE,TN"
"CORPUS CHRISTI,TX"
"SAN FRANCISCO,CA"
"TEXAS CITY,TX"
"ST. LOUIS,MO"
"NEWPORT NEWS,VA"
"ANCHORAGE,AK"
"BEAUMONT,TX"
"MEMPHIS,TN"
"FALL RIVER,MA"
"SAN JOAQUIN RIVER,CA"
"ALBANY, NY"
"NEW HAVEN,CT"
"INTERNATIONAL FALLS/RANIER,MN"
"RICHMOND-PETERSBURG,VA"
"PORT ARTHUR,TX"
"FORT PIERCE,FL"
"CARQUINEZ STRAIT,CA"
"LAREDO,TX"
"SALT LAKE CITY, UT"
"RICHMOND,CA"
"MINNEAPOLIS-ST.PAUL,MN"
"KETCHIKAN,AK"
"CAMDEN,NJ"
"CINCINNATI-LAWRENCEBURG,OH"
"DENVER, CO"
"ORANGE,TX"
"KANSAS CITY,MO"
"LAKE CHARLES,LA"
"PERTH AMBOY, NJ"
"KAHULUI,HI"
"NEW BEDFORD,MA"
"NEWARK, NJ"
"ANACORTES,WA"
"JOHN F. KENNEDY AIRPORT, JFK, NY"
"CLEVELAND,OH"
"PORTLAND,ME"
"CHARLOTTE,NC"
"DESTREHAN,LA"
"TOLEDO-SANDUSKY,OH"
"MARINETTE, WI"
"MILWAUKEE,WI"
"OLYMPIA,WA"
"PORT LAVACA,TX"
"GREEN BAY,WI"
"SAN ANTONIO,TX"
"PORT CANAVERAL,FL"
"EL PASO,TX"
"PASCAGOULA,MS"
"PITTSBURGH,PA"
"CHARLESTON,WV"
"BOISE,ID"
"ABERDEEN/HOQUIAM,WA"
"NEW LONDON,CT"
"LOUISVILLE,KY"
"BELLINGHAM,WA"
"OMAHA,NE"
"ERIE,PA"
"SAN JUAN INTL. AIRPORT,PR"
"ST. PETERSBURG,FL"
"VICKSBURG,MS"
"BLAINE,WA"
"PAULSBORO,PA"
"DURHAM,NC"
"PORT ANGELES,WA"
"NOGALES,AZ"
"HILO,HI"
"INDIANAPOLIS,IN"
"OSWEGO,NY"
"LITTLE ROCK/NORTH LITTLE ROCK,AR"
"PHOENIX,AZ"
"BIRMINGHAM,AL"
"SEARSPORT,ME"
"NAWILIWILI-PORT ALLEN,HI"
"PENSACOLA,FL"
"KALAMA,WA"
"LAS VEGAS,NV"
"EASTPORT,ME"
"OKLAHOMA CITY,OK"
"ORLANDO,FL"
"NORFOLK SUBPORT, NORFOLK, VA"
"DULUTH,MN"
"AVONDALE,LA"
"LOS ANGELES INTL. AIRPORT, LAX, LOS ANGELES, CA"
"KODIAK, AK"
"NEWPORT,RI"
"PLYMOUTH,MA"
"DULUTH, MN-SUPERIOR, WI"
"SPRINGFIELD,MO"
"PORTLAND INTERNATIONAL AIRPORT, PORTLAND, WA"
"MIAMI INTL. AIRPORT,MIAMI,FL"
"HOUSTON INTERCONTL AIRP, TX"
"POINT ROBERTS,WA"
"DALLAS, TX"
"MELBOURNE REGIONAL AIRPORT, FL"
"UPS, SEATTLE, WA"
"UNKWNOWN, MT"
"SABINE,TX"
"ROSEAU,MN"
"PORT SAN LUIS,CA"
"BWI INTERNATIONAL AIRPORT, MD"
"HONOLULU INTL. AIRPORT,HI"
"CHARLOTTE AMALIE,VIRGIN ISLANDS"
"WICHITA,KS"
"GEORGETOWN,SC"
"FEDERAL EXPRESS COURIER FACILITY, OAKLAND, CA"
"AKRON,OH"
"NEAH BAY,WA"
"VALDEZ,AK"
"EL SEGUNDO,CA"
"ST. CROIX, VI"
"SELBY,CA"
"BRIDGEPORT,CT"
"GRAND RAPIDS,MI"
"SEATTLE-TACOMA INTL. AIRPORT,WA"
"FREEPORT, TX (2204)"
"IBC PACIFIC, CA"
"OMAHA, NE"
"DALLAS LOVE FIELD USER FEE AIRP, DALLAS, TX"
"BUFFALO-NIAGARA FALLS,NY"
"BURLINGTON,VT"
"PHILADELPHIA INTL. AIRPORT,PA"
"NACO,AZ"
"CHRISTIANSTED,VIRGIN ISLANDS"
"FT. LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT, FL"
"KONA, HI"
"SITKA,AK"
"MEMPHIS, TENNESSEE CARTAGE-CONTROL, NEW ORLEANS, LA"
"AUSTIN,TX"
"UNKWNOWN, FL"
"NORTON,VT"
"DHL WORLDWIDE,LOS ANGELES,CA"
"CINCINNATI,OH (DHL COURIER)"
"DES MOINES, IA"
"SAULT STE MARIE,MI"
"TUCSON,AZ"
"ANNAPOLIS,MD"
"GATEWAY FREIGHT SERV INC, LAX, CA"
"UPS, NEWARK, NJ"
"GREENSBORO,NC"
"ASTORIA,OR"
"SAGINAW/BAY CITY/FLINT,MI"
"WASHINGTON, DC"
"SAN PABLO BAY,CA"
"DETROIT METRO AIRPORT, DETROIT, MI"
"HOULTON,ME"
"HIDALGO,TX"
"DHL WORLDWIDE EXPRESS,SAN FRANCISCO,CA"
"CONNEAUT,OH"
"COLUMBIA,SC"
"UPS,ONTARIO,CA"
"UPS MIAMI INTL AIRP, FL"
"MAIDA, ND"
"MIA/CFS EXP CONSIG FACIL, FL"
"JINEAU,AK"
NOT AVAILABLE
"DAYTON,OH"
"NEWPORT,OR"
"UNKWNOWN, NY"
"TULSA,OK"
"ASHLAND, WI"
"CHATTANOOGA,TN"
"AGUADILLA,PR"
"MUSKEGON,MI"
"KEY WEST,FL"
"SAN FRANCISCO INTL. AIRPORT, SAN FRANCISCO,CA"
"SPRINGFIELD,MA"
"GARY,IN"
"SOUTHWEST FLORIDA FORT, MYERS, FL"
"DETOUR,MI"
"LUBBOCK,TX"
"SACRAMENTO,CA"
"DEL RIO,TX"
"FEDEX ECCF, NEWARK, NJ"
"GREENVILLE-SPARTANBURG,SC"
"KNOXVILLE,TN"
"SAN YSIDRO, CA"
"RENO,NV"
"BANGOR,ME"
"TULSA, OK"
"DHL WORLDWIDE EXPRESS, SEATAC, WA"
"MONTEREY,CA"
"EAST CHICAGO,IN"
"ALBURQUERQUE,NM"
"CHAMPLAIN-ROUSES POINT,NY"
"DEL BONITA, MT"
"HOPEWELL,VA"
"SHREVEPORT-BOSSIER CITY,LA"
"MARTINEZ,CA"
"FORT MYERS AIRPORT, FL"
"GUAYANILLA,PR"
"OAKLAND/PONTIAC AIRPORT,MI"
"SALEM,MA"
"NECHE, ND"
"NEW RIVER, FL (INCLUDED IN TRAFFIC OF PORT EVERGLADES HARBOR, FL)"
"FRIDAY HARBOR,WA"
"FAJARDO,PR"
"PORT HURON,MI"
"PROVINCETOWN,MA"
"ESCANABA, MI"
"WRANGELL,AK"
"OGDENSBURG,NY"
"ROGERS CITY,MI"
"EAGLE PASS, TX"
"DALTON CACHE,AK"
"LOGAN AIRPORT,MA"
"COOS BAY,OR"
"SANTA TERESA, NM"
"PORT TOWNSEND,WA"
"FRONT ROYAL,VA"
"GREENVILLE,MS"
"HARTFORD,CT"
"ST. JOHN, ND"
"UPS COURIER HUB FACILITY, PHILADELPHIA, PA"
"CAPE VINCENT,NY"
"AIR CARGO HANDLING SERVICES, INC."
"WILLOW RUN AIRPORT,MI"
"CBP ST. THOMAS PRECLEARANCE, ST. THOMAS, VI"
""
"REDWOOD CITY,CA"
"LORAINE,OH"
"SACRAMENTO INTERNATIONAL AIRPORT, CA"
"NIGHTHAWK,WA"
"PORT ST.JOE,AL"
"WARROAD,MN"
NOT DECLARED
"MELVILLE,RI"
"BAYOU CASOTTE, MS (INCLUDED IN TRAFFIC OF PASCAGOULA HARBOR, MS)"
"AIRBORNE AIR PARK, WILMINGTON,OH"
"UPS SIOUX FALL, SD"
"GLOUCESTER,MA"
"DOUGLAS,AZ"
