feature,weight,std
Metric_Tons,1.998822372784709,0.002228459216859724
HS_Group_Name_Finished Goods,5.360138422005889e-09,7.667152578091687e-12
foreign_company_size,0.0,0.0
US_Unemployment_Rate,0.0,0.0
Average_Tariff,0.0,0.0
cases_weekly,0.0,0.0
deaths_weekly,0.0,0.0
State_Closure_EA_Diff,0.0,0.0
cases_pctdelta,0.0,0.0
Container_LCL/FCL_LCL,0.0,0.0
Foreign_Country_Region_Other Europe (not European Union),0.0,0.0
Trade_Direction_Import,0.0,0.0
HS_Group_Name_Edible with Processing,0.0,0.0
HS_Group_Name_Pharma,0.0,0.0
TCVUSD,0.0,0.0
Foreign_Country_Region_Sub Saharan Africa,0.0,0.0
US_Port_Coastal_Region_Northeast,0.0,0.0
Foreign_Country_Region_Other East Asia (not China),0.0,0.0
US_company_size,0.0,0.0
Container_Type_Dry_True,0.0,0.0
