feature,weight,std
deaths_weekly,1.207821985147969,0.0019225439593708142
cases_weekly,1.0927487196026546,0.003572519656519664
TCVUSD,0.9163841529248786,0.001607216500725648
Average_Tariff,0.5693671290283335,0.002000620165823043
Foreign_Country_Region_South Asia,0.17376510736882728,0.001202274315377209
HS_Group_Name_Finished Goods,0.17281582669409448,0.0007951160241391272
Trade_Direction_Import,0.12543249892674108,0.0002545700785384019
HS_Group_Name_Raw Input,0.10829236105206026,0.00022110820064756594
HS_Group_Name_Pharma,0.06263331619128602,0.00014884865808005362
Container_Type_Dry_True,0.050421108163350284,0.000251295769123656
State_Closure_EA_Diff,0.04969583853702993,0.0003653278411672442
HS_Group_Name_Edible with Processing,0.04690437260189935,0.00033653267080835977
Foreign_Country_Region_European Union,0.0385372423636007,0.00028796315018412807
Foreign_Country_Region_Other East Asia (not China),0.03653963283289483,0.00040221612243359565
Foreign_Country_Region_Southeast Asia,0.028401246761762634,0.0003360995644985223
Container_LCL/FCL_LCL,0.02697203363351668,0.0003010967706423709
Foreign_Country_Region_South America,0.026680125325771888,0.00045730276173310593
US_Port_Coastal_Region_Northwest,0.024500037877640858,0.0004815831415041024
deaths_pctdelta,0.021903772319603408,0.00012713927564509853
Foreign_Country_Region_Middle East & North Africa,0.021687980013441365,0.000425589071760381
