boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.7899855379990557,+,0.34323158501862916,12,0,193,0.44490999530554665,0.49614263676362336,0.50385005576227,11.926464935241524,172
gbdt,0.7201228867220607,+,0.33795442544352466,14,0,197,0.6025727746290457,0.7947493408450826,0.38942915431211245,11.936163425516172,108
gbdt,0.7685870996414569,+,0.2598696735616421,12,0,186,0.338171974426353,0.8500017226803561,0.4148170297476009,11.960191374402337,278
gbdt,0.7618263048753099,+,0.38975425026947413,12,0,193,0.31333796779035794,0.17477566663317745,0.48362122144224384,11.961731401950937,51
gbdt,0.7993486832719107,+,0.3811907157959221,12,0,179,0.21876467052248258,0.7502389653878302,0.34925053666881267,11.965102827527048,151
gbdt,0.7600499605457836,+,0.3090258860527143,12,0,179,0.3326849217855003,0.8734839865307984,0.3580834702064557,11.965756653120494,261
gbdt,0.7592143958607237,+,0.30332823675059284,12,0,179,0.2876236473246896,0.9829900478959634,0.3982294163726169,11.969820282139622,263
gbdt,0.7658180838208969,+,0.38604630558064634,12,0,179,0.2581077685586389,0.7526963544170537,0.3533567515199944,11.99051066343,150
gbdt,0.767158832308264,+,0.33418594102370447,12,0,160,0.254684091016012,0.7420698231102735,0.3847089003958474,11.996702662796483,258
gbdt,0.7700130810567254,+,0.36445288505688955,12,0,155,0.05676313551517115,0.8629186748666238,0.48598295567479416,12.01613470525391,153
gbdt,0.7951514169811705,+,0.42923764366599854,12,0,169,0.394498354344639,0.7548393614856199,0.34747850589397083,12.0176454779398,149
gbdt,0.7558214215740533,+,0.31908336914053226,11,0,169,0.37489457265606646,0.7868972895483786,0.36610584381342115,12.01918501419794,67
gbdt,0.7921381640092958,+,0.43515529486602367,12,0,169,0.4918852381660491,0.5597330845317268,0.3405915609708711,12.02215708929704,61
gbdt,0.7571851817252868,+,0.4337029799961299,12,0,180,0.36439644713355557,0.6267517467029174,0.3397136388205313,12.0271673108944,146
gbdt,0.7942790052194708,+,0.1760560813433199,12,0,183,0.40482637747897754,0.8497103282355428,0.4131610667370549,12.028359817799164,267
gbdt,0.7857199357843165,+,0.3253739272423847,11,0,148,0.5285117959216877,0.6505020120122815,0.3712975915600527,12.033102192550023,144
gbdt,0.799683964204633,+,0.481727093950559,13,0,185,0.16698160594899483,0.5841979970410287,0.3801696726029938,12.039323025558277,288
gbdt,0.7866338183162301,+,0.13088480244996334,14,0,193,0.33885502636865317,0.7784890103546939,0.6053996871300815,12.050307934935669,218
gbdt,0.6634314325955039,+,0.1743082767184217,14,0,192,0.69075182095196,0.4835122735435925,0.6720125207470182,12.08104206607559,126
gbdt,0.7793326162850488,+,0.20518445992988807,10,0,193,0.3938971005336493,0.06872712460456272,0.5142852834169366,12.08948029625305,176
gbdt,0.7867532858881505,+,0.18414137431724814,11,0,177,0.4239346463546427,0.7609979789074738,0.4686094496312994,12.090688580684576,250
gbdt,0.7564487766788052,+,0.35562936597525635,12,0,124,0.34620054023949864,0.6853717660408123,0.37303177207622207,12.091299052456987,68
gbdt,0.7114551358322705,+,0.2675453296981702,14,0,130,0.00039601246966108894,0.6631793371415298,0.4230200278403854,12.09353233893864,213
gbdt,0.745488723333062,+,0.4188809175982862,11,0,161,0.40533831015397864,0.058301429470653296,0.7064452947101276,12.103342978377151,30
gbdt,0.7396966092404075,+,0.4469287040585073,13,0,137,0.43195642682357116,0.5046524470637013,0.39549483956657633,12.107143929055326,66
gbdt,0.7803040474028217,+,0.228962736350012,12,0,125,0.3828732045184517,0.39100260622099814,0.32937535898189474,12.110808201739047,206
gbdt,0.7482566669257884,+,0.25718796782477166,12,0,133,0.3303820639656379,0.8203151116545584,0.3250762585405499,12.114242696845402,264
gbdt,0.7868603573122889,+,0.4127017346818029,12,0,115,0.2075922009261654,0.6884572802748955,0.5677943938101602,12.119724466784236,290
gbdt,0.7999790081396205,+,0.4011081617216824,12,0,108,0.26405338279272966,0.7747742931619963,0.311421992009557,12.13452147868496,259
gbdt,0.6937156339135309,+,0.39221132830342387,12,0,133,0.5554665058172541,0.054966233787086316,0.8824454740006946,12.138156270849734,24
gbdt,0.7942533468710434,+,0.4838756131916637,14,0,112,0.4555635543524482,0.1497037832283874,0.6409314846000735,12.139543597472974,174
gbdt,0.7533837062795283,+,0.11853483548960855,14,0,193,0.19601695443337747,0.8291453244530832,0.4574189287546111,12.140042223933088,269
gbdt,0.7659732899304872,+,0.16857079661042063,14,0,141,0.23396954357041239,0.10656590172423198,0.4745119871252391,12.142441533906982,283
gbdt,0.7330184786481566,+,0.3078183590612601,9,0,179,0.21934686573278772,0.7425270940847123,0.30234303147578717,12.143691018901691,161
gbdt,0.7849219246065903,+,0.532184767962577,14,0,136,0.840595211300126,0.5423402183804596,0.5936701619191154,12.147809825617731,197
gbdt,0.7899398606170518,+,0.5513299906646667,12,0,159,0.16761135264161606,0.7136699867430155,0.3427411192951263,12.152955822012478,260
gbdt,0.7687108082473854,+,0.13694512132043177,12,0,179,0.29492424758031277,0.5898081271533231,0.3731317611103626,12.174758328623428,168
gbdt,0.6880795982425735,+,0.45553801784292486,11,0,161,0.5699361939779337,0.06685190275755226,0.8702710089459509,12.175888803032024,25
gbdt,0.7710509470145368,+,0.559976904091466,11,0,191,0.20598107546988215,0.7000124216367049,0.8413824588614904,12.185943698349575,125
gbdt,0.6398628912177259,+,0.20454042686306081,11,0,184,0.3354466739074378,0.36056699513443824,0.6322418505232235,12.187894395358134,79
gbdt,0.7382222582176317,+,0.30610580764724493,9,0,160,0.3777521806425007,0.7858435360299082,0.30130512236918694,12.194623368455828,83
gbdt,0.7361341609324931,+,0.4622906173492676,12,0,110,0.3909104619818144,0.861779168066233,0.3604674928228477,12.20966246178446,262
gbdt,0.7149032227580454,+,0.2562955299466942,12,0,116,0.5325771154714767,0.4310821562542011,0.6211994237191623,12.212163802847572,244
gbdt,0.724170258563352,+,0.3174482614929183,11,0,109,0.6092175777824607,0.5328460140988727,0.606914201502172,12.219420618798592,118
gbdt,0.7604669536655698,+,0.3855874423443458,13,0,86,0.9685240406635981,0.6149130343996945,0.5930024784446092,12.220636630419008,129
gbdt,0.7872599632085165,+,0.578401895093784,9,0,193,0.4341293102428125,0.4987607773017844,0.6950016196737319,12.239684728839691,173
gbdt,0.7603523721639024,+,0.16382533878898586,10,0,171,0.1603115390581642,0.154319917871628,0.44658174517423466,12.24051778330498,52
