boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.7802417981866432,+,0.04559884648747723,14,0,196,0.19636829109525816,0.27034042114352463,0.6772676622431785,386.5122207657039,269
gbdt,0.7997933565921542,+,0.045362791761721664,14,0,140,0.1899210287325502,0.27145806070954437,0.7943235118407472,386.58252914255314,280
gbdt,0.7863549706053347,+,0.034809466449349354,13,0,182,0.45863481729785227,0.10459322689936676,0.6939907629528723,386.7494629286671,237
gbdt,0.7545998695820116,+,0.07337740488972569,13,0,74,0.3943150919704082,0.1474450573134803,0.8174330552631719,386.78976897996034,23
gbdt,0.7221742367059166,+,0.041102829360620485,14,0,196,0.33160748619339436,0.9347262863782713,0.8177602819723603,386.8124810001006,42
gbdt,0.7511873818419759,+,0.0450022250842191,14,0,196,0.21911600718436328,0.7743540466096156,0.8694914848279912,386.8593533780258,268
gbdt,0.7361928265815036,+,0.052284162842348623,13,0,183,0.4415571556614552,0.8416991183593994,0.6981874722402358,386.8932257950184,101
gbdt,0.767107495925667,+,0.034302229072338646,14,0,140,0.2978135916538966,0.2970790219470834,0.7026083247886487,386.913847231144,287
gbdt,0.75044448160012,+,0.03325206617203832,14,0,128,0.00039628713173106567,0.3176903326487575,0.5947651609064503,386.9275974645372,277
gbdt,0.7283356654989979,+,0.08467579911900075,13,0,173,0.2219920574821431,0.7478785431290668,0.914831203006843,386.99472693514025,29
gbdt,0.7816634906293145,+,0.0320320591719366,14,0,196,0.1968137548528862,0.12393656673193627,0.6727544235758841,387.0649242699224,270
gbdt,0.7941857206783505,+,0.02949318379042627,14,0,140,0.09350879366515114,0.23708825123525512,0.7675264823599008,387.0972118650661,283
gbdt,0.7433826701237646,+,0.06898206618020719,13,0,162,0.14546457389803544,0.9642340331551372,0.6260117661719639,387.14773164558807,75
gbdt,0.7119729019992188,+,0.08554424153045666,14,0,185,0.2552392287065015,0.8110255293587663,0.9226921933367296,387.1494669162592,143
gbdt,0.6425519508962358,+,0.04294947294776327,14,0,193,0.7561278533796787,0.4494745009431319,0.7086793360522323,387.1640560062872,43
gbdt,0.77215356480338,+,0.08872619661638327,14,0,94,0.17092655292663983,0.19387108781061094,0.6557133784860215,387.1860255892527,285
gbdt,0.7717290402330561,+,0.039405975602510954,14,0,111,0.33882222790502803,0.05398025204087345,0.7599636333303894,387.18971928998326,292
gbdt,0.7021784820632562,+,0.057510023697104465,14,0,181,0.47177273009061327,0.12845510258123677,0.5827774356576774,387.2099033729893,135
gbdt,0.7952612276237814,+,0.04387106184903808,13,0,100,0.016854772754943292,0.849245173880832,0.8728775861818165,387.2162461167409,208
gbdt,0.7571718779719363,+,0.04587254642760003,13,0,182,0.4374270768631939,0.14153932083597043,0.605389436498827,387.2229339030075,249
gbdt,0.7437999763075748,+,0.11700142554558665,13,0,81,0.4502636948571859,0.8790508445469286,0.9102140246226492,387.2309556152948,263
gbdt,0.7994183184626114,+,0.05611955307582092,14,0,153,0.1845943322492134,0.35782609922482994,0.7127735069958854,387.2394369160674,281
gbdt,0.7444828550749375,+,0.022287172075059092,14,0,184,0.4598892675962993,0.3228809420080233,0.8213444912521214,387.2678701444701,115
gbdt,0.7997693218557086,+,0.03282749068516049,13,0,145,0.4801130305407726,0.5907461404875888,0.8347147202617432,387.3631993291646,175
gbdt,0.726590506795138,+,0.14838832097853188,13,0,152,0.4322615295783265,0.9880496212729996,0.8982749644524285,387.3671836927636,69
gbdt,0.7646840041681598,+,0.054676348322614775,13,0,124,0.30291345377682655,0.8393541617792306,0.8397864954189173,387.37611388399273,68
gbdt,0.7754085416674331,+,0.04864421880989552,13,0,157,0.13317901149760508,0.956254420612491,0.825274258051898,387.39459096171896,149
gbdt,0.7914166809081384,+,0.03552737777607765,13,0,180,0.6205967860250117,0.974815681123381,0.5027881398187624,387.3967003355369,108
gbdt,0.7155984038831795,+,0.07964454446090909,13,0,166,0.4067230537003086,0.7910127855680356,0.9402131173594878,387.450785875998,151
gbdt,0.7859944770679573,+,0.02687312801380444,14,0,167,0.2182470931616251,0.20514193039231654,0.8220543400319872,387.456018147333,273
gbdt,0.765506681854115,+,0.05992593605010731,13,0,126,0.3693858985666395,0.2231591256957049,0.8007397221419785,387.5047290466889,264
gbdt,0.7563643014102815,+,0.06816661365401287,14,0,78,0.2665781243848266,0.10145209905402072,0.6455740782600072,387.5478749461792,278
gbdt,0.7927185782023357,+,0.04242109052817149,12,0,194,0.5623834823318982,0.8044117398060525,0.3472642942111056,387.5581961463101,184
gbdt,0.7982812277402916,+,0.10486278086179496,11,0,101,0.13693255899466517,0.14128134342235935,0.6835075775486388,387.5703359818936,289
gbdt,0.7692926575895513,+,0.12162902846749934,14,0,149,0.38806531989651016,0.6565044089733009,0.6880912302528919,387.60176660282656,83
gbdt,0.6993645759361872,+,0.05378788768921046,13,0,107,0.5498049500781504,0.718906916184112,0.9277055636093483,387.6541960961493,157
gbdt,0.7329378812473876,+,0.11041397861320362,13,0,174,0.12095322699068706,0.7261981031132322,0.8086950258105571,387.6935886371485,67
gbdt,0.7543386827162266,+,0.08610013247398209,13,0,192,0.25353949383095137,0.3759001857639442,0.8391237583399137,387.6950806074712,258
gbdt,0.7361485386162474,+,0.09590657246907966,13,0,131,0.27149302250826074,0.025170161672874614,0.8901620995948267,387.7805761271089,131
gbdt,0.7123175880505059,+,0.055488715374358774,13,0,179,0.39813898223467054,0.9723075704332806,0.8174456051163992,387.7889081455689,261
gbdt,0.660940557204351,+,0.0586369938250536,12,0,193,0.5172791590278512,0.7106319774379706,0.8401375407710363,387.79772865179024,215
gbdt,0.7994105773013587,+,0.04558566536612507,14,0,196,0.16061233351380566,0.2830801378961948,0.5727709990278231,387.806213607671,274
gbdt,0.7412594971999918,+,0.040754942715687865,13,0,144,0.30469203236862463,0.9684623811052201,0.7373635697282985,387.8399981954653,213
gbdt,0.7473483881257552,+,0.0639221846600382,12,0,161,0.0003003723728273733,0.7412104885574108,0.790659737572198,387.8444186988296,152
gbdt,0.7421105319729565,+,0.022758229699947386,13,0,173,0.042253655161019366,0.7335179840970991,0.8328515514186443,387.88667861367895,30
gbdt,0.7727036731326135,+,0.11912918946132046,13,0,92,0.39882559842120235,0.788698071195099,0.9504483548416689,387.9241316552409,201
gbdt,0.7268553498700386,+,0.06785921328184656,13,0,80,0.36175027634168677,0.05646985363987056,0.788438285771351,387.93512118989935,259
gbdt,0.777873571851606,+,0.021485472441746683,14,0,159,0.10772126488726029,0.07824069591433828,0.7237657225932953,387.9417504917839,272
gbdt,0.7721270477997866,+,0.07613958664821105,13,0,77,0.21593006817078433,0.8525777805664275,0.7657197271807299,388.0130964681548,123
gbdt,0.7493316554212992,+,0.12108169900630329,13,0,90,0.38910939954713997,0.778554982059759,0.7318837298811021,388.02073043007954,169
gbdt,0.7236809782485554,+,0.08431741032601109,13,0,80,0.22585671611466726,0.8913739219710323,0.9170250522196233,388.06005219462776,66
gbdt,0.7806365756829079,+,0.04797743004533075,11,0,190,0.1553359979600102,0.576742328406457,0.8379892000703731,388.0786000829019,162
gbdt,0.7533199452356337,+,0.045043156919071965,11,0,188,0.0551986563306362,0.9437455098199042,0.8487962133098721,388.07960124967934,62
gbdt,0.6757404355994215,+,0.02178271915742807,14,0,173,0.22791989339200752,0.8337870428967573,0.803426879346743,388.14591416946206,188
gbdt,0.7404859293682385,+,0.106703054710582,13,0,197,0.2094556749773803,0.4478156687885753,0.8867602543970762,388.1687772017113,198
gbdt,0.7151093453479511,+,0.14032653007413043,12,0,133,0.43802918644092326,0.7995534416071729,0.9326964507546804,388.2015653727221,6
gbdt,0.68159311883218,+,0.08506188039708941,13,0,187,0.2863418728498275,0.3993060406256813,0.9943998155850649,388.2664384663526,33
gbdt,0.7609160324994299,+,0.07759118205341833,14,0,67,0.0209283898762338,0.5680395723382683,0.5490484187460786,388.2952357501724,91
gbdt,0.7010748875955217,+,0.1296731100407676,13,0,70,0.6946896343853821,0.28813841028148135,0.9592212417517827,388.3103753131793,19
gbdt,0.6580304999758897,+,0.17856954415114965,14,0,171,0.3228801093236737,0.8013319211820922,0.8167162534803817,388.3125146266975,163
gbdt,0.7171500928319503,+,0.04756876759215888,13,0,74,0.5056821791497066,0.9069133505015878,0.47777605891503383,388.3730979588352,193
